Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,42,28,14,66.7%,7,3,4,42.9%,2011,2026,SF,42,1.15,9.9%,4.4%,63.8%,70.4%,46.0%,61.6%,44.2%,57.1%,45.6%
Roland Garros,14,Clay,32,18,14,56.3%,7,5,2,71.4%,2011,2024,SF,32,1.02,7.9%,5.4%,60.4%,68.9%,44.1%,59.1%,41.8%,55.2%,44.9%
Wimbledon,13,Grass,34,21,13,61.8%,11,5,6,45.5%,2010,2024,F,30,1.08,10.2%,5.0%,64.9%,72.0%,45.8%,62.8%,40.2%,60.3%,41.8%
US Open,15,Hard,46,31,15,67.4%,14,9,5,64.3%,2010,2024,F,45,1.09,10.3%,5.9%,60.1%,72.4%,42.3%,60.4%,43.1%,63.6%,44.9%
Olympics,1,,3,2,1,66.7%,1,0,1,0.0%,2021,2021,R16,0,,,,,,,,,,
Fed Cup,5,,16,11,5,68.8%,1,0,1,0.0%,2015,2019,,12,1.13,9.2%,3.8%,61.5%,72.2%,48.0%,62.9%,41.9%,64.4%,46.9%
Doha,10,Hard,27,18,9,66.7%,8,5,3,62.5%,2024,2026,W,26,1.06,9.9%,5.4%,63.3%,70.4%,44.4%,60.8%,41.5%,59.9%,48.6%
Cluj-Napoca,2,Hard,6,5,1,83.3%,1,1,0,100.0%,2024,2026,W,6,1.28,9.1%,7.1%,61.9%,73.4%,44.0%,62.2%,48.3%,60.6%,48.2%
Cincinnati,13,Hard,31,19,12,61.3%,7,3,4,42.9%,2012,2024,W,29,1.07,10.0%,6.6%,58.2%,73.6%,44.0%,61.2%,41.6%,69.7%,46.6%
Toronto,5,Hard,12,7,5,58.3%,6,2,4,33.3%,2013,2024,SF,12,1.04,8.8%,6.7%,60.6%,69.5%,41.5%,58.5%,43.1%,61.5%,47.2%
Washington,3,Hard,3,0,3,0.0%,0,0,0,-,2012,2024,R32,3,0.70,7.7%,9.1%,55.0%,62.6%,40.4%,52.6%,33.2%,44.0%,66.7%
Birmingham,7,Grass,12,5,7,41.7%,7,2,5,28.6%,2013,2024,F,12,1.00,8.8%,2.9%,68.1%,72.2%,41.4%,62.4%,37.8%,58.9%,40.5%
