Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2012 Monte Carlo R64,L vs Dodig,29% (2/7),50% (1/2),1/5,88% (7/8),14% (1/7),1/1,0/0,0/1,0/0,0/1
2012 Dubai R32,L vs Cipolla,30% (3/10),33% (1/3),0/4,50% (5/10),20% (1/5),0/1,0/0,2/2,0/0,1/1
2012 Marseille QF,L vs Tipsarevic,0% (0/10),- (0/0),0/2,30% (3/10),33% (1/3),0/0,0/0,2/2,0/0,1/1
2012 Marseille R16,W vs Beck,9% (1/11),100% (1/1),0/0,9% (1/11),100% (1/1),0/0,0/0,0/0,0/0,0/0
2012 Marseille R32,W vs Serra,13% (2/15),100% (2/2),0/0,13% (2/16),100% (2/2),2/2,2/2,2/2,1/1,0/0
2012 Rotterdam R32,L vs Huta Galung,18% (2/11),50% (1/2),0/2,40% (4/10),50% (2/4),1/1,0/0,0/0,0/0,0/0
2012 Zagreb R16,L vs Berrer,20% (2/10),50% (1/2),0/3,40% (4/10),25% (1/4),0/1,0/0,1/1,0/0,0/0
2012 Zagreb R32,W vs Beck,7% (1/15),100% (1/1),0/1,33% (5/15),80% (4/5),1/1,1/1,0/0,1/1,0/0
2011 Basel R16,L vs Mayer,38% (3/8),33% (1/3),0/4,63% (5/8),0% (0/5),0/1,0/0,1/2,0/0,1/1
2011 Shanghai R64,L vs Melzer,11% (1/9),100% (1/1),1/4,67% (6/9),33% (2/6),0/1,0/0,1/1,0/0,0/0
2011 Beijing SF,L vs Cilic,44% (4/9),0% (0/4),0/2,60% (6/10),50% (3/6),0/0,0/0,0/1,0/0,0/1
2011 Beijing QF,W vs Youzhny,63% (10/16),50% (5/10),1/3,25% (4/16),25% (1/4),5/5,1/1,3/3,1/1,0/0
2011 Beijing R16,W vs Mayer,36% (4/11),100% (4/4),0/2,33% (4/12),50% (2/4),3/3,1/1,1/1,1/1,0/0
2011 Beijing R32,W vs Gabashvili,50% (6/12),83% (5/6),1/3,25% (3/12),0% (0/3),1/3,0/0,1/1,0/0,0/0
2011 Metz F,L vs Tsonga,14% (2/14),100% (2/2),1/4,50% (8/16),25% (2/8),1/2,0/0,2/4,0/0,2/3
2011 Metz SF,W vs Muller,0% (0/12),- (0/0),0/0,8% (1/12),100% (1/1),0/0,0/0,2/2,0/0,0/0
2011 Metz QF,W vs Sijsling,22% (2/9),100% (2/2),0/0,10% (1/10),100% (1/1),1/1,1/1,0/0,1/1,0/0
2011 Metz R16,W vs Renavand,17% (2/12),100% (2/2),0/0,0% (0/12),- (0/0),0/0,0/0,0/0,0/0,0/0
2011 US Open R64,L vs Nalbandian,29% (5/17),80% (4/5),2/6,59% (10/17),40% (4/10),2/4,1/1,2/2,0/0,1/1
2011 Wimbledon R32,L vs Murray,25% (5/20),60% (3/5),0/4,37% (7/19),29% (2/7),2/3,1/1,2/3,0/0,1/1
2012 (8 matches),,14.6%,61.5%,5.9%,34.4%,41.9%,71.4%,100.0%,87.5%,100.0%,66.7%
2011 (20 matches),,27.9%,68.4%,18.8%,28.2%,32.1%,72.7%,77.8%,79.3%,85.7%,77.8%
2010 (2 matches),,14.8%,50.0%,0.0%,32.1%,66.7%,50.0%,100.0%,80.0%,-,100.0%
2007 (2 matches),,35.0%,42.9%,25.0%,30.0%,33.3%,100.0%,-,-,-,-
2006 (4 matches),,25.4%,56.3%,20.0%,29.7%,47.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Career (45 matches),,24.1%,61.7%,13.7%,29.5%,38.0%,78.2%,88.6%,83.3%,91.7%,77.3%
