Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2012,9,3,6,33.3%,8-15,34.8%,105-126,45.5%,2-2,50.0%,9,80.7%,9.7%,16.3%,3.7%,59.4%,75.8%,47.2%,64.2%,30.0%,48.1%,0.84,QF (Marseille)
2011,44,25,19,56.8%,65-47,58.0%,585-540,52.0%,14-10,58.3%,43,83.2%,20.0%,12.9%,2.2%,56.6%,77.2%,51.6%,66.1%,34.9%,50.7%,1.03,F (Metz)
2010,46,26,20,56.5%,63-52,54.8%,602-567,51.5%,13-13,50.0%,44,84.0%,19.2%,14.2%,2.4%,59.4%,76.4%,49.2%,65.4%,36.1%,50.7%,1.04,W (Indian Wells Masters)
2009,55,32,23,58.2%,74-61,54.8%,709-675,51.2%,19-10,65.5%,55,85.2%,16.3%,14.6%,2.3%,59.3%,77.9%,50.8%,66.9%,34.7%,50.8%,1.05,W (Lyon)
2008,35,17,18,48.6%,46-43,51.7%,474-459,50.8%,14-14,50.0%,34,86.6%,14.7%,15.4%,2.2%,60.8%,77.8%,51.9%,67.7%,33.5%,50.6%,1.04,F (Zagreb)
2007,71,47,24,66.2%,111-75,59.7%,1015-922,52.4%,32-20,61.5%,68,87.6%,15.9%,17.0%,2.8%,59.2%,79.4%,52.5%,68.4%,34.4%,51.4%,1.09,W (2x)
2006,81,61,20,75.3%,146-68,68.2%,1189-949,55.6%,21-21,50.0%,77,88.2%,21.8%,15.0%,3.2%,60.2%,79.1%,52.5%,68.5%,37.1%,52.5%,1.18,W (4x)
2005,81,57,24,70.4%,141-76,65.0%,1181-996,54.2%,26-18,59.1%,72,87.8%,18.8%,15.4%,2.7%,61.8%,76.0%,54.8%,67.9%,34.6%,51.6%,1.08,W (2x)
2004,61,37,24,60.7%,88-70,55.7%,833-777,51.7%,19-14,57.6%,55,85.9%,16.5%,14.3%,2.9%,60.1%,76.9%,53.9%,67.8%,33.9%,50.7%,1.05,F (Doha)
2003,52,28,24,53.8%,72-60,54.5%,692-640,52.0%,10-16,38.5%,46,85.9%,18.5%,17.7%,4.3%,56.1%,78.6%,52.6%,67.2%,35.2%,50.8%,1.07,SF (4x)
2002,57,28,29,49.1%,77-78,49.7%,817-805,50.4%,13-27,32.5%,53,84.1%,18.1%,15.3%,4.0%,56.6%,77.3%,51.5%,66.1%,34.1%,50.2%,1.01,SF (2x)
2001,54,31,23,57.4%,78-58,57.4%,770-689,52.8%,27-21,56.3%,50,85.4%,18.7%,12.7%,3.5%,55.8%,76.9%,52.9%,66.3%,35.0%,50.9%,1.04,W (Lyon)
2000,45,23,22,51.1%,59-56,51.3%,583-571,50.5%,10-12,45.5%,40,80.8%,19.2%,13.8%,3.8%,53.2%,77.7%,47.8%,63.7%,34.9%,49.5%,0.96,SF (2x)
1999,25,11,14,44.0%,30-36,45.5%,321-332,49.2%,6-8,42.9%,23,79.0%,21.1%,8.4%,2.9%,57.5%,73.0%,50.3%,63.4%,36.8%,50.1%,1.00,SF (Umag)
1998,5,2,3,40.0%,8-9,47.1%,85-82,50.9%,0-2,0.0%,1,80.0%,18.8%,3.7%,6.5%,39.3%,78.6%,52.3%,62.6%,36.4%,48.9%,0.97,
1997,5,1,4,20.0%,3-8,27.3%,43-65,39.8%,1-1,50.0%,5,59.3%,21.2%,12.6%,4.4%,46.2%,74.6%,38.1%,54.9%,37.0%,46.3%,0.82,R16 (Umag)
1996,2,1,1,50.0%,1-2,33.3%,9-15,37.5%,0-0,-,2,46.2%,25.0%,2.9%,5.8%,55.1%,55.3%,38.7%,47.8%,40.0%,43.6%,0.77,R16 (Umag)
Career,728,430,298,59.1%,1070-814,56.8%,10013-9210,52.1%,227-209,52.1%,677,85.2%,18.3%,14.7%,3.1%,58.4%,77.4%,51.8%,66.8%,35.0%,50.9%,1.05,
