Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,11,7,4,63.6%,5,1,4,20.0%,2023,2026,R32,11,0.89,3.7%,3.0%,63.1%,70.1%,50.4%,62.8%,33.2%,68.0%,37.8%
Roland Garros,2,Clay,5,3,2,60.0%,1,0,1,0.0%,2023,2024,R128,5,0.97,2.0%,3.6%,68.2%,61.1%,47.6%,56.8%,41.8%,60.8%,47.8%
Wimbledon,2,Grass,3,1,2,33.3%,2,1,1,50.0%,2023,2024,R64,3,1.05,10.9%,4.0%,63.3%,79.2%,56.3%,70.8%,30.7%,68.2%,42.1%
US Open,3,Hard,7,4,3,57.1%,5,4,1,80.0%,2023,2025,R32,7,1.01,3.9%,4.3%,57.1%,71.0%,50.6%,62.3%,38.3%,60.6%,32.5%
Hong Kong,2,Hard,11,8,3,72.7%,7,4,3,57.1%,2024,2026,SF,11,1.06,7.1%,3.0%,62.4%,75.1%,58.2%,68.7%,33.1%,70.7%,29.6%
Shanghai Masters,3,Hard,6,3,3,50.0%,3,1,2,33.3%,2023,2025,R32,6,0.98,5.1%,1.5%,65.1%,71.7%,50.3%,64.2%,35.0%,51.7%,43.8%
Beijing,3,Hard,3,0,3,0.0%,2,1,1,50.0%,2023,2025,R32,3,0.92,4.2%,3.1%,64.0%,62.3%,53.4%,59.1%,37.8%,54.5%,50.0%
Chengdu,2,Hard,7,6,1,85.7%,2,2,0,100.0%,2024,2025,W,7,1.11,7.4%,1.5%,67.7%,73.5%,56.7%,68.1%,35.5%,78.6%,42.9%
Washington,2,Hard,7,5,2,71.4%,1,1,0,100.0%,2023,2024,R16,7,1.31,8.7%,3.4%,59.2%,71.9%,61.4%,67.6%,42.5%,52.2%,40.8%
Atlanta,2,Hard,10,8,2,80.0%,5,3,2,60.0%,2023,2024,SF,10,1.15,6.9%,3.9%,59.1%,75.0%,57.9%,68.0%,36.9%,76.0%,51.9%
