Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Dubai R32,L vs Medvedev,14.6%,22.9%,41.5%,17.7%,21.2%,30.3%,38.5%,25.8%,41.7%,66.7%,75.0%,0.0%,6.7%,46.7%,-118
2024 NextGen Finals RR,L vs Basavareddy,21.8%,30.8%,48.3%,28.1%,22.7%,34.1%,50.0%,33.9%,30.4%,57.1%,100.0%,22.6%,29.0%,45.8%,55
2024 NextGen Finals RR,L vs Van Assche,26.9%,37.2%,42.6%,33.7%,38.0%,52.0%,51.6%,48.6%,25.0%,50.0%,0.0%,8.0%,12.0%,30.4%,-39
2024 Shanghai R64,L vs Alcaraz,23.5%,33.3%,32.4%,28.6%,25.9%,40.7%,40.0%,35.6%,30.8%,50.0%,50.0%,22.7%,27.3%,23.5%,47
2024 Chengdu F,W vs Musetti,27.8%,38.9%,53.8%,34.3%,36.7%,51.0%,58.1%,46.3%,30.0%,48.3%,0.0%,8.7%,13.0%,47.6%,-79
2024 Atlanta R16,W vs Shelton,30.8%,41.5%,61.4%,35.5%,37.8%,51.4%,56.5%,46.2%,38.5%,62.5%,-,22.2%,29.6%,66.7%,-25
2024 Bordeaux CH QF,W vs Evans,9.9%,28.7%,59.3%,19.2%,8.7%,29.0%,61.9%,22.3%,21.6%,71.9%,88.9%,12.5%,28.1%,53.6%,-79
2024 Bordeaux CH R16,W vs Carballes Baena,14.3%,24.7%,50.0%,21.9%,14.0%,28.0%,60.5%,25.8%,16.7%,69.2%,100.0%,16.0%,20.0%,28.6%,33
2024 Madrid R128,W vs Moutet,16.9%,29.4%,59.6%,29.4%,17.5%,34.0%,63.7%,35.1%,35.0%,36.8%,62.5%,17.1%,20.0%,48.3%,51
2024 Barcelona R64,L vs Machac,15.8%,33.3%,57.4%,26.1%,14.7%,35.3%,58.6%,32.1%,23.1%,61.9%,100.0%,18.2%,31.8%,55.6%,-13
2024 Australian Open R128,W vs Mcdonald,22.4%,32.9%,51.4%,30.3%,29.8%,45.2%,55.9%,43.2%,15.4%,44.4%,50.0%,12.7%,16.4%,45.8%,12
2024 Hong Kong QF,W vs Tiafoe,18.5%,37.0%,74.4%,28.1%,16.0%,48.0%,71.4%,36.8%,14.3%,72.2%,-,21.4%,28.6%,77.3%,-27
2023 US Open Q2,W vs Kypson,28.0%,38.7%,61.5%,36.7%,34.9%,51.2%,71.4%,50.0%,23.5%,50.0%,-,20.0%,23.3%,50.0%,16
Career (13 matches),,20.6%,32.8%,54.1%,28.6%,24.0%,40.0%,58.0%,37.0%,25.9%,54.4%,68.2%,15.9%,22.2%,47.9%,10
