Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai R32,L vs Medvedev,42.9%,52.4%,10.2%,3/2,2.38,0.0%,36.1%,53.8%,5.6%,2.16,0.0%,80.0%,50.0%,30.0%,2.73,0.0%
2024 NextGen Finals RR,L vs Basavareddy,54.7%,51.4%,4.7%,1/2,2.35,20.7%,48.9%,45.5%,0.0%,2.19,32.4%,76.5%,61.5%,17.6%,2.58,4.2%
2024 NextGen Finals RR,L vs Van Assche,64.5%,51.0%,5.3%,0/4,2.32,14.8%,61.4%,51.4%,5.3%,2.32,22.6%,77.8%,50.0%,5.6%,2.32,4.3%
2024 Shanghai R64,L vs Alcaraz,70.8%,38.2%,10.4%,2/3,-,16.2%,54.2%,38.5%,8.3%,-,30.0%,87.5%,38.1%,12.5%,-,0.0%
2024 Chengdu F,W vs Musetti,73.8%,55.6%,1.6%,0/1,2.67,50.0%,67.4%,58.1%,0.0%,2.63,71.0%,93.3%,50.0%,6.7%,2.74,19.0%
2024 Atlanta R16,W vs Shelton,62.1%,51.2%,3.0%,0/2,2.56,4.5%,58.3%,42.9%,0.0%,2.34,8.7%,76.5%,69.2%,11.8%,2.79,0.0%
2024 Bordeaux CH QF,W vs Evans,65.4%,54.9%,1.3%,1/0,2.30,48.4%,57.1%,42.9%,0.0%,2.34,61.9%,88.5%,69.6%,3.8%,2.21,17.9%
2024 Bordeaux CH R16,W vs Carballes Baena,78.2%,57.4%,1.1%,1/0,2.13,1.6%,70.6%,50.0%,0.0%,2.09,2.3%,97.0%,65.6%,3.0%,2.19,0.0%
2024 Madrid R128,W vs Moutet,79.9%,50.4%,5.2%,4/4,2.39,20.8%,75.5%,47.3%,2.0%,2.34,26.0%,87.5%,55.1%,10.7%,2.53,6.9%
2024 Barcelona R64,L vs Machac,80.3%,38.8%,3.3%,0/2,-,2.2%,77.5%,38.7%,2.5%,-,3.6%,94.7%,38.9%,5.3%,-,0.0%
2024 Australian Open R128,W vs Mcdonald,65.0%,53.9%,6.8%,2/6,2.32,0.9%,64.1%,52.0%,3.8%,2.08,1.7%,74.3%,57.7%,14.3%,2.61,0.0%
2024 Hong Kong QF,W vs Tiafoe,58.9%,45.5%,3.6%,0/2,2.27,4.7%,44.1%,40.0%,0.0%,2.40,9.5%,90.0%,50.0%,10.0%,2.14,0.0%
2023 US Open Q2,W vs Kypson,58.0%,53.2%,3.7%,1/2,2.28,13.5%,43.2%,50.0%,2.7%,2.38,25.0%,77.5%,54.8%,5.0%,2.17,0.0%
Career (13 matches),,67.3%,50.9%,4.5%,33.3%,2.35,16.6%,61.0%,47.7%,2.2%,2.28,24.6%,84.8%,55.4%,9.4%,2.46,4.2%
