Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2004,266,140,106,1685,78,1681,91,1655,26,1745,542,66,,
2003,657,23,,,,,,,,,,,,
2002,243,120,,,,,,,,,1137,10,,
2001,12,1761,44,1849,45,1782,49,1763,9,1862,493,71,,
2000,129,298,69,1777,70,1710,58,1744,14,1797,125,470,,
1999,62,772,41,1853,45,1780,39,1814,9,1857,51,1122,,
1998,12,2137,17,1962,18,1904,12,1928,5,1920,68,893,,
1997,15,2176,6,2043,8,1945,4,1995,4,1927,69,976,,
1996,4,3492,6,2085,4,2035,5,2015,3,1958,59,1013,,
1995,10,,10,2010,13,1915,7,2022,8,1915,58,1087,,
1994,5,,6,2096,9,1981,6,2055,7,1985,122,579,,
1993,7,,3,2141,6,2023,7,2069,6,1967,111,583,,
1992,4,,3,2172,6,2078,5,2053,4,2015,42,1022,,
1991,16,,10,2057,10,1988,11,1974,7,1925,24,1383,,
1990,9,,6,2039,9,1937,4,2034,7,1888,31,1113,,
1989,40,,77,1774,59,1737,43,1786,75,1627,49,,,
1988,371,,,,,,,,,,139,,,
1987,954,,,,,,,,,,404,,,
