Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2001 Masters Cup RR,W vs Kuerten,86.9%,63.0%,40.9%,65.1%,11.1%,7.7%,50.0%,7.1%,0.0%,1.6%,0.0%,68,148
2001 Davis Cup World Group PO RR,L vs Volandri,24.3%,61.5%,17.3%,73.6%,12.3%,21.9%,5.6%,9.8%,6.7%,1.9%,50.0%,2,54
2001 Cincinnati R16,L vs Kuerten,36.4%,68.8%,21.3%,64.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,112,165
2001 Wimbledon F,W vs Rafter,84.7%,68.1%,38.2%,68.1%,52.6%,33.3%,0.0%,42.1%,37.5%,1.5%,0.0%,157,205
2001 Wimbledon SF,W vs Henman,89.6%,64.5%,38.3%,64.0%,41.7%,0.0%,0.0%,25.0%,18.2%,0.0%,-,105,182
2001 Wimbledon R64,W vs Moya,88.2%,72.0%,35.2%,69.0%,29.6%,0.0%,30.8%,35.0%,100.0%,0.7%,0.0%,42,153
1998 Moscow F,L vs Kafelnikov,72.7%,62.5%,35.3%,58.3%,7.1%,0.0%,22.2%,6.7%,0.0%,1.9%,0.0%,-77,-26
1998 Wimbledon F,L vs Sampras,84.9%,67.7%,37.2%,67.7%,50.0%,50.0%,0.0%,30.0%,9.1%,0.0%,-,140,211
1998 Wimbledon SF,W vs Krajicek,86.1%,77.2%,38.5%,77.3%,37.5%,45.5%,25.0%,55.0%,55.6%,3.0%,20.0%,223,196
1997 Vienna F,W vs Rusedski,86.4%,68.5%,38.9%,68.2%,29.4%,16.7%,0.0%,16.7%,0.0%,0.0%,-,171,177
1997 Rome SF,L vs Corretja,18.2%,78.6%,27.7%,69.6%,13.9%,22.7%,4.3%,2.8%,0.0%,1.9%,33.3%,27,25
1996 Grand Slam Cup F,L vs Becker,84.7%,66.0%,34.2%,66.0%,5.3%,0.0%,20.0%,9.1%,0.0%,0.0%,-,36,101
1996 Tour Finals SF,L vs Sampras,55.4%,75.6%,22.9%,77.1%,15.7%,16.7%,20.0%,10.0%,0.0%,0.0%,-,25,174
1996 Moscow F,W vs Kafelnikov,63.6%,78.6%,24.3%,81.8%,13.9%,20.0%,16.7%,0.0%,0.0%,1.0%,100.0%,29,162
1996 US Open SF,L vs Sampras,23.3%,80.0%,15.6%,69.2%,17.2%,38.9%,20.0%,6.7%,7.1%,1.3%,0.0%,39,81
1996 US Open QF,W vs Edberg,6.8%,83.3%,7.7%,55.6%,13.3%,40.0%,11.1%,24.0%,23.1%,0.8%,50.0%,21,71
1996 Indianapolis F,L vs Sampras,33.9%,68.4%,18.8%,68.0%,22.0%,16.7%,33.3%,3.4%,0.0%,1.9%,0.0%,101,138
1996 Miami F,L vs Agassi,0.0%,-,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,11,27
1996 Miami SF,W vs Sampras,19.2%,71.4%,13.9%,68.2%,9.7%,37.5%,25.0%,6.8%,0.0%,1.3%,0.0%,46,50
1996 Indian Wells SF,L vs Haarhuis,32.8%,66.7%,20.9%,72.4%,15.2%,21.1%,8.3%,9.6%,11.1%,0.5%,0.0%,35,23
Career (64 matches),,59.4%,67.0%,28.6%,66.8%,13.4%,22.8%,12.0%,10.2%,12.6%,0.9%,30.7%,46,97
