Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2001 Masters Cup RR,W vs Kuerten,27% (4/15),75% (3/4),0/0,20% (3/15),100% (3/3),2/2,1/1,0/0,1/1,0/0
2001 Davis Cup RR,L vs Volandri,57% (13/23),62% (8/13),0/6,41% (9/22),33% (3/9),5/6,0/2,1/1,0/0,0/0
2001 Cincinnati R16,L vs Kuerten,0% (0/7),- (0/0),0/4,63% (5/8),0% (0/5),0/0,0/0,0/1,0/0,0/1
2001 Wimbledon F,W vs Rafter,12% (3/25),100% (3/3),0/2,15% (4/26),25% (1/4),3/3,3/3,4/5,1/1,3/3
2001 Wimbledon SF,W vs Henman,12% (3/25),67% (2/3),0/2,23% (6/26),50% (3/6),1/1,1/1,2/3,1/1,2/2
2001 Wimbledon R64,W vs Moya,30% (6/20),67% (4/6),0/1,19% (4/21),75% (3/4),4/4,3/3,2/2,1/1,0/0
1998 Wimbledon F,L vs Sampras,16% (4/25),50% (2/4),1/3,31% (8/26),50% (4/8),2/2,1/1,3/4,0/0,0/1
1997 Vienna F,W vs Rusedski,24% (6/25),67% (4/6),0/2,40% (10/25),80% (8/10),3/3,1/1,3/3,1/1,2/2
1996 Grand Slam Cup F,L vs Becker,0% (0/15),- (0/0),0/3,29% (4/14),25% (1/4),0/0,0/0,2/2,0/0,1/1
1996 Tour Finals SF,L vs Sampras,0% (0/18),- (0/0),0/0,11% (2/18),50% (1/2),0/0,0/0,3/4,0/0,1/2
1996 Moscow F,W vs Kafelnikov,31% (4/13),100% (4/4),0/1,17% (2/12),50% (1/2),3/3,1/1,0/0,0/0,0/0
1996 US Open SF,L vs Sampras,10% (2/21),0% (0/2),0/3,21% (4/19),25% (1/4),0/0,0/0,2/2,0/0,0/0
1996 Indianapolis F,L vs Sampras,17% (2/12),100% (2/2),0/3,33% (4/12),25% (1/4),1/2,0/0,3/3,0/0,1/1
1996 Miami SF,W vs Sampras,21% (3/14),67% (2/3),0/1,36% (5/14),60% (3/5),2/2,2/2,0/1,1/1,0/0
1996 Indian Wells SF,L vs Haarhuis,30% (3/10),33% (1/3),0/3,40% (4/10),25% (1/4),1/1,0/0,1/1,0/0,0/0
1996 Antwerp F,L vs Stich,7% (1/15),100% (1/1),1/4,36% (5/14),20% (1/5),0/1,0/0,0/0,0/0,0/0
1995 Grand Slam Cup F,W vs Martin,27% (4/15),50% (2/4),0/0,13% (2/16),100% (2/2),2/2,2/2,2/2,1/1,0/0
1995 Rome SF,L vs Bruguera,30% (3/10),67% (2/3),1/2,40% (4/10),0% (0/4),1/2,0/0,0/2,0/0,0/1
1995 Hamburg F,L vs Medvedev,8% (1/12),100% (1/1),1/6,67% (8/12),13% (1/8),0/1,0/0,2/3,0/0,0/1
1995 Hamburg SF,W vs Bruguera,19% (3/16),100% (3/3),1/3,20% (3/15),0% (0/3),3/3,1/2,1/1,0/1,0/0
2001 (6 matches),,25.2%,69.0%,0.0%,26.3%,41.9%,93.8%,80.0%,75.0%,100.0%,83.3%
1998 (1 matches),,16.0%,50.0%,33.3%,30.8%,50.0%,100.0%,100.0%,75.0%,-,0.0%
1997 (1 matches),,24.0%,66.7%,0.0%,40.0%,80.0%,100.0%,100.0%,100.0%,100.0%,100.0%
1996 (8 matches),,12.7%,66.7%,5.6%,26.5%,33.3%,77.8%,100.0%,84.6%,100.0%,75.0%
1995 (5 matches),,23.9%,62.5%,23.1%,31.3%,19.0%,70.0%,66.7%,66.7%,50.0%,0.0%
Career (44 matches),,20.1%,62.6%,10.2%,26.6%,39.0%,87.3%,81.0%,76.4%,78.6%,68.8%
