Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,21,9,12,42.9%,19-25,43.2%,200-213,48.4%,3-3,50.0%,21,60.9%,35.9%,4.7%,6.8%,61.7%,63.6%,42.1%,55.4%,44.5%,49.8%,1.00,R16 (2x)
2024,45,30,15,66.7%,65-39,62.5%,545-436,55.6%,6-8,42.9%,45,70.7%,39.8%,3.7%,5.4%,64.9%,66.4%,44.1%,58.6%,45.9%,52.3%,1.11,SF (3x)
2023,44,23,21,52.3%,55-42,56.7%,503-422,54.4%,7-10,41.2%,42,70.9%,38.2%,4.3%,6.2%,63.9%,67.1%,44.1%,58.8%,44.6%,51.6%,1.08,SF (Australian Open)
2022,38,24,14,63.2%,51-33,60.7%,421-356,54.2%,7-4,63.6%,37,67.3%,40.3%,3.2%,6.7%,60.8%,66.1%,43.8%,57.3%,46.8%,51.9%,1.10,SF (Guadalajara 2)
2021,42,28,14,66.7%,59-26,69.4%,451-354,56.0%,4-3,57.1%,36,68.1%,45.5%,4.1%,6.5%,62.2%,65.8%,44.0%,57.5%,48.8%,53.1%,1.15,F (Indian Wells)
2020,24,18,6,75.0%,36-16,69.2%,262-184,58.7%,3-0,100.0%,24,71.0%,45.1%,4.0%,3.9%,68.2%,64.3%,45.5%,58.3%,48.0%,53.2%,1.15,F (2x)
2019,40,22,18,55.0%,51-38,57.3%,449-386,53.8%,3-2,60.0%,40,64.6%,42.7%,4.6%,6.1%,61.8%,64.7%,42.9%,56.4%,46.8%,51.4%,1.07,F (Monterrey)
2018,29,17,12,58.6%,36-24,60.0%,307-259,54.2%,3-3,50.0%,28,68.2%,40.5%,3.9%,6.0%,67.2%,65.0%,42.1%,57.5%,46.2%,51.7%,1.09,SF (Miami)
2017,6,4,2,66.7%,8-7,53.3%,71-66,51.8%,1-1,50.0%,6,52.2%,33.3%,4.4%,6.3%,65.0%,66.0%,47.9%,59.7%,44.3%,51.2%,1.10,R16 (2x)
2016,31,26,5,83.9%,53-9,85.5%,353-184,65.7%,4-0,100.0%,29,78.9%,51.8%,4.2%,8.0%,65.9%,71.6%,45.6%,62.8%,51.0%,56.6%,1.37,W (3x)
2015,48,34,14,70.8%,75-28,72.8%,562-385,59.3%,3-6,33.3%,39,70.5%,49.1%,3.6%,6.6%,70.5%,67.1%,47.6%,61.3%,46.6%,54.0%,1.21,F (Doha)
2014,24,15,9,62.5%,33-24,57.9%,282-242,53.8%,1-4,20.0%,22,-,-,3.8%,7.9%,67.5%,65.2%,41.0%,57.3%,45.4%,51.4%,1.06,F (Brisbane)
2013,55,43,12,78.2%,89-29,75.4%,632-401,61.2%,9-1,90.0%,50,11.1%,44.4%,2.5%,7.6%,67.2%,64.5%,41.4%,56.9%,52.5%,54.7%,1.22,W (3x)
2012,81,69,12,85.2%,138-31,81.7%,945-538,63.7%,9-7,56.3%,70,-,-,2.9%,6.8%,68.2%,67.5%,47.1%,61.0%,50.4%,55.6%,1.29,W (6x)
2011,78,60,18,76.9%,125-36,77.6%,878-549,61.5%,7-2,77.8%,66,-,-,2.1%,5.3%,70.2%,65.4%,46.2%,59.6%,49.2%,54.2%,1.22,W (3x)
2010,63,42,21,66.7%,88-38,69.8%,670-467,58.9%,4-6,40.0%,53,-,-,2.4%,6.3%,70.9%,64.6%,44.6%,58.8%,50.0%,54.3%,1.21,W (2x)
2009,63,46,17,73.0%,99-37,72.8%,739-519,58.7%,10-4,71.4%,56,-,-,2.2%,4.7%,72.2%,62.9%,45.3%,58.0%,49.5%,53.8%,1.18,W (3x)
2008,60,40,20,66.7%,86-40,68.3%,656-463,58.6%,6-3,66.7%,49,-,-,3.5%,4.6%,66.6%,65.9%,46.2%,59.3%,48.2%,53.6%,1.18,F (2x)
2007,48,31,17,64.6%,68-39,63.6%,538-419,56.2%,4-4,50.0%,37,-,-,3.5%,6.0%,59.7%,64.3%,45.4%,56.7%,47.6%,52.0%,1.10,F (2x)
2006,21,9,12,42.9%,23-26,46.9%,243-234,50.9%,2-2,50.0%,9,-,-,4.0%,3.9%,59.1%,58.8%,40.9%,51.5%,44.0%,47.8%,0.91,SF (Tashkent)
2005,8,6,2,75.0%,11-5,68.8%,89-61,59.3%,1-1,50.0%,0,,,,,,,,,,,,SF (Guangzhou)
Career,869,596,273,68.6%,1268-592,68.2%,9796-7138,57.8%,97-74,56.7%,759,68.6%,42.6%,3.4%,6.1%,66.4%,65.5%,44.5%,58.5%,48.1%,53.2%,1.16,
