Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-12-25),981,18,,,,,,,,,1557,3,,
2022,657,43,,,,,,,,,,,,
2021,480,99,,,,,,,,,,,,
2020,328,166,,,,,,,,,913,31,,
2019,336,154,320,1296,312,1262,297,1268,,,881,30,,
2018,346,113,,,,,,,,,,,,
2017,723,25,,,,,,,,,,,,
2016,372,102,,,,,,,,,,,,
2015,568,44,,,,,,,,,676,45,,
2014,298,133,,,,,,,,,366,124,,
2013,322,150,,,,,,,,,355,170,,
2012,269,191,,,,,,,,,376,133,,
2011,356,124,,,,,,,,,430,118,,
2010,384,107,,,,,,,,,566,61,,
2009,493,60,,,,,,,,,,,,
2008,868,10,,,,,,,,,,,,
2007,1026,4,,,,,,,,,,,,
