Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,575,351,224,61.0%,866-629,57.9%,8363-7875,51.5%,340-232,59.4%,558,91.7%,10.3%,21.7%,2.7%,68.8%,78.9%,55.9%,71.7%,29.7%,50.7%,1.05
Clay,149,82,67,55.0%,241-196,55.1%,2442-2350,51.0%,96-71,57.5%,139,91.0%,9.9%,18.0%,2.3%,68.0%,77.3%,55.6%,70.4%,29.5%,50.1%,1.00
Grass,85,56,29,65.9%,155-87,64.0%,1487-1369,52.1%,69-31,69.0%,84,93.8%,9.2%,24.1%,2.5%,71.5%,80.5%,56.7%,73.7%,28.9%,51.0%,1.10
Grand Slams,146,87,59,59.6%,317-215,59.6%,3099-2888,51.8%,125-71,63.8%,145,91.9%,10.2%,21.7%,2.5%,69.7%,79.3%,55.9%,72.2%,29.4%,50.7%,1.06
Masters,242,145,97,59.9%,333-248,57.3%,3246-3133,50.9%,147-92,61.5%,241,91.4%,9.1%,20.5%,2.4%,69.0%,78.1%,56.2%,71.4%,29.1%,50.3%,1.02
Other Tours,390,242,148,62.1%,557-398,58.3%,5367-5013,51.7%,215-156,58.0%,381,92.1%,10.5%,21.4%,2.8%,68.7%,78.9%,55.9%,71.7%,29.9%,50.8%,1.06
Best of 5,166,97,69,58.4%,359-252,58.8%,3544-3314,51.7%,140-82,63.1%,151,92.0%,10.3%,21.8%,2.5%,69.6%,79.3%,55.9%,72.2%,29.5%,50.8%,1.06
Best of 3,643,392,251,61.0%,903-660,57.8%,8748-8280,51.4%,365-252,59.2%,630,91.7%,10.0%,21.0%,2.7%,68.8%,78.5%,56.0%,71.5%,29.6%,50.6%,1.04
Finals,31,16,15,51.6%,41-36,53.2%,422-417,50.3%,16-15,51.6%,31,91.0%,8.5%,19.8%,2.7%,68.0%,78.7%,54.5%,71.0%,28.3%,49.9%,0.97
Semi-finals,62,31,31,50.0%,79-83,48.8%,890-898,49.8%,28-30,48.3%,62,90.1%,9.6%,19.8%,2.8%,68.5%,77.5%,53.8%,70.0%,28.7%,49.5%,0.96
Quarter-finals,103,62,41,60.2%,144-110,56.7%,1413-1344,51.3%,55-45,55.0%,102,91.3%,10.5%,20.9%,2.3%,69.3%,77.8%,56.3%,71.2%,30.2%,50.5%,1.05
vs Righties,685,411,274,60.0%,1067-772,58.0%,10379-9828,51.4%,430-273,61.2%,660,91.5%,10.2%,21.0%,2.6%,68.9%,78.7%,55.5%,71.5%,29.6%,50.5%,1.04
vs Lefties,123,77,46,62.6%,192-140,57.8%,1894-1754,51.9%,75-61,55.1%,120,93.7%,9.6%,22.5%,2.6%,69.6%,79.2%,58.7%,73.0%,29.2%,50.9%,1.08
vs Top 10,109,29,80,26.6%,99-194,33.8%,1455-1734,45.6%,53-52,50.5%,96,85.6%,4.6%,16.8%,2.3%,68.6%,73.9%,50.2%,66.4%,25.2%,46.7%,0.75
