Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2021 ATP Cup RR,L vs Rublev,58.8%,46.7%,3.9%,2/0,2.42,6.5%,46.9%,40.0%,6.3%,2.40,10.0%,88.2%,53.3%,0.0%,2.45,0.0%
2020 Australian Open R32,L vs Fognini,75.8%,33.3%,2.1%,1/1,2.41,50.0%,70.5%,32.6%,1.6%,2.41,67.3%,100.0%,34.5%,3.4%,2.41,13.0%
2019 Antwerp R16,W vs Kwon,80.3%,39.3%,0.0%,0/0,2.55,20.0%,81.1%,39.5%,0.0%,2.31,40.0%,90.0%,38.9%,0.0%,2.80,0.0%
2019 Los Cabos QF,W vs Kwon,67.1%,60.4%,0.0%,0/0,2.46,32.7%,76.2%,50.0%,0.0%,2.35,51.6%,87.5%,76.2%,0.0%,2.62,4.8%
2019 Wimbledon QF,L vs Bautista Agut,79.1%,41.5%,3.0%,2/2,2.28,23.4%,76.4%,38.2%,0.0%,2.31,37.3%,86.4%,47.4%,9.1%,2.23,0.0%
2019 Wimbledon R16,W vs Raonic,51.0%,44.9%,2.6%,2/2,2.41,8.8%,42.4%,40.5%,2.0%,2.39,12.6%,78.3%,50.0%,4.3%,2.45,0.0%
2019 Wimbledon R32,W vs Anderson,58.5%,49.1%,8.5%,6/2,2.22,15.0%,49.2%,37.9%,3.4%,2.25,21.6%,83.9%,61.5%,19.4%,2.16,3.4%
2019 Barcelona QF,L vs Thiem,80.3%,43.9%,0.0%,0/0,2.16,6.1%,73.5%,44.4%,0.0%,2.11,8.6%,95.5%,42.9%,0.0%,2.27,0.0%
2019 Monte Carlo QF,L vs Nadal,84.9%,50.0%,0.0%,0/0,2.19,1.3%,85.4%,48.8%,0.0%,2.26,1.8%,95.5%,52.4%,0.0%,2.04,0.0%
2019 Monte Carlo R64,W vs Djere,73.0%,50.7%,3.0%,1/2,2.30,13.0%,64.5%,40.0%,3.2%,2.28,18.4%,89.2%,63.6%,2.7%,2.35,0.0%
2019 Indian Wells R64,W vs Bolt,71.8%,49.4%,0.0%,0/0,2.45,11.5%,60.9%,33.3%,0.0%,2.34,16.2%,93.0%,65.0%,0.0%,2.73,0.0%
2019 Sao Paulo F,W vs Garin,75.4%,53.1%,0.0%,0/0,2.38,7.7%,68.6%,37.5%,0.0%,2.43,10.3%,96.2%,68.0%,0.0%,2.25,0.0%
2019 Sao Paulo SF,W vs Djere,68.8%,49.1%,3.8%,3/0,2.63,13.2%,62.5%,48.6%,0.0%,2.77,21.9%,87.0%,50.0%,13.0%,2.43,0.0%
2019 Buenos Aires SF,L vs Cecchinato,71.2%,37.8%,0.0%,0/0,2.12,8.8%,62.5%,40.0%,0.0%,2.28,13.0%,89.5%,35.3%,0.0%,1.77,0.0%
2019 Buenos Aires QF,W vs Munar,82.0%,52.4%,3.1%,3/1,2.24,4.4%,78.4%,46.6%,2.7%,2.30,4.7%,94.0%,59.6%,4.0%,2.09,3.7%
2019 Cordoba F,L vs Londero,65.8%,46.2%,7.6%,4/2,2.14,9.3%,57.8%,23.1%,6.7%,2.00,16.7%,83.9%,69.2%,9.7%,2.32,0.0%
2019 Cordoba R16,W vs Ramos,81.8%,50.0%,2.3%,2/0,-,4.3%,76.8%,48.8%,1.8%,-,8.7%,96.7%,51.7%,3.3%,-,0.0%
2018 Montevideo CH F,W vs Berlocq,74.0%,50.9%,0.0%,0/0,2.16,11.5%,87.5%,48.6%,0.0%,2.23,17.1%,88.0%,54.5%,0.0%,2.03,0.0%
2018 Umag F,L vs Cecchinato,82.6%,43.7%,0.0%,0/0,2.14,9.6%,80.9%,40.0%,0.0%,1.95,15.6%,88.9%,56.3%,0.0%,2.45,0.0%
2018 Buenos Aires QF,L vs Thiem,72.2%,46.2%,4.2%,2/1,2.18,3.2%,68.5%,43.2%,5.6%,1.95,5.0%,88.2%,53.3%,0.0%,2.59,0.0%
Career (32 matches),,72.3%,47.9%,2.0%,64.2%,2.30,13.1%,68.4%,44.5%,1.3%,2.28,18.0%,88.9%,52.8%,3.6%,2.34,3.4%
