Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,11,3,8,27.3%,9,2,7,22.2%,2013,2023,R32,11,0.90,6.1%,2.8%,67.2%,67.5%,52.3%,62.6%,33.8%,56.1%,38.1%
Roland Garros,11,Clay,23,12,11,52.2%,12,6,6,50.0%,2012,2023,R64,20,0.97,3.7%,3.3%,64.9%,67.2%,48.1%,60.5%,38.3%,58.5%,40.4%
Wimbledon,7,Grass,17,10,7,58.8%,15,9,6,60.0%,2013,2023,QF,14,0.91,6.4%,1.7%,69.5%,69.5%,53.9%,64.7%,32.1%,67.7%,33.1%
US Open,11,Hard,22,11,11,50.0%,13,3,10,23.1%,2012,2023,R32,19,1.05,7.7%,3.9%,64.0%,69.9%,53.8%,64.1%,37.8%,58.9%,41.5%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2016,2016,R64,1,0.61,6.0%,0.0%,71.1%,61.0%,58.3%,60.2%,24.2%,71.4%,20.0%
Davis Cup,5,,13,8,5,61.5%,7,4,3,57.1%,2016,2021,,12,1.05,7.1%,2.1%,64.8%,71.6%,48.2%,63.4%,38.5%,63.5%,37.2%
Buenos Aires,12,Clay,19,7,12,36.8%,12,5,7,41.7%,2009,2023,SF,18,0.94,4.0%,2.7%,66.3%,65.9%,49.4%,60.4%,37.2%,57.8%,39.0%
Indian Wells Masters,8,Hard,17,9,8,52.9%,5,2,3,40.0%,2013,2023,R32,17,0.99,7.0%,4.2%,64.1%,67.1%,52.2%,61.7%,37.8%,55.7%,35.6%
Sao Paulo,7,Clay,20,14,6,70.0%,10,7,3,70.0%,2012,2019,W,20,1.14,7.6%,2.1%,64.8%,74.1%,53.2%,66.7%,38.0%,67.5%,43.6%
Miami Masters,7,Hard,11,4,7,36.4%,5,2,3,40.0%,2013,2023,R32,11,0.87,5.1%,4.2%,66.0%,64.9%,51.6%,60.4%,34.5%,59.5%,29.4%
Rio de Janeiro,5,Clay,9,4,5,44.4%,5,3,2,60.0%,2015,2019,F,9,1.06,4.0%,3.6%,64.3%,71.0%,53.0%,64.6%,37.6%,66.1%,39.3%
Munich,4,Clay,13,9,4,69.2%,3,1,2,33.3%,2017,2021,F,13,1.16,5.9%,2.0%,65.8%,69.3%,50.3%,62.8%,43.3%,67.8%,45.0%
