Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Guangzhou QF,L vs Liu,64% (7/11),30% (3/10),1/1,0/0,45% (5/11),1/3,0/1,- (0/0),- (0/0)
2025 Guangzhou R16,W vs Putintseva,69% (9/13),60% (3/5),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Cincinnati R32,W vs Kessler,61% (11/18),38% (3/8),2/2,1/1,50% (4/8),3/4,2/2,57% (4/7),57% (4/7)
2025 Cincinnati R64,W vs Navarro,60% (9/15),40% (4/10),2/4,1/2,60% (6/10),1/2,0/0,- (0/0),- (0/0)
2024 Jiujiang R32,L vs Pridankina,44% (7/16),29% (2/7),0/3,0/0,20% (1/5),0/2,0/1,43% (3/7),43% (3/7)
2024 Australian Open R128,L vs Sabalenka,50% (1/2),- (0/0),0/0,0/0,44% (4/9),7/9,6/7,- (0/0),- (0/0)
2023 Hamburg R32,L vs Niemeier,53% (9/17),38% (6/16),1/2,0/0,58% (7/12),0/2,0/1,67% (4/6),17% (1/6)
2025 (4 matches),,63.2%,39.4%,77.8%,75.0%,51.7%,55.6%,66.7%,57.1%,57.1%
2024 (2 matches),,44.4%,28.6%,0.0%,-,35.7%,63.6%,75.0%,42.9%,42.9%
2023 (1 matches),,52.9%,37.5%,50.0%,-,58.3%,0.0%,0.0%,66.7%,16.7%
Career (7 matches),,57.6%,37.5%,57.1%,75.0%,49.1%,54.5%,66.7%,55.0%,40.0%
