Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2007,921,6,,,,,,,,,,,,
2006,63,392,36,1752,45,1656,15,1747,102,1498,,,,
2005,43,744,33,1777,43,1685,8,1775,89,1514,,,,
2004,32,932,25,1803,30,1718,6,1784,73,1540,,,,
2003,16,1353,10,1846,9,1769,4,1799,54,1584,,,,
2002,16,1616,14,1844,13,1770,6,1788,74,1548,,,,
2001,88,413,70,1675,94,1571,38,1682,116,1476,,,,
2000,46,699,56,1720,67,1621,26,1716,79,1528,,,,
1999,47,644,42,1757,35,1700,40,1696,108,1483,,,,
1998,49,548,47,1737,53,1652,38,1694,99,1501,,,,
1997,142,148,137,1587,118,1543,148,1523,,,,,,
1996,132,172,188,1538,176,1504,178,1496,153,1427,,,,
1995,68,24,149,1636,111,1607,153,1576,135,1484,,,,
1994,47,33,103,1677,73,1657,103,1618,102,1532,,,,
1993,139,10,92,1689,100,1623,65,1667,,,,,,
1992,236,3,280,1514,205,1511,306,1443,173,1440,,,,
1991,264,3,215,1563,166,1546,199,1529,,,,,,
