Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,297,205,,,,,,,,,370,205,,
2019,276,209,,,,,,,,,335,214,,
2018,516,42,,,,,,,,,435,109,,
2018,516,42,,,,,,,,,435,109,,
2017,196,292,184,1489,189,1441,161,1438,152,1422,86,826,,
2016,159,353,181,1493,178,1454,159,1486,175,1391,78,1054,,
2015,158,344,,,,,,,,,200,330,,
2014,302,128,,,,,,,,,263,201,,
2013,509,68,,,,,,,,,702,45,,
2012,920,13,,,,,,,,,703,37,,
2011,1210,3,,,,,,,,,706,40,,
