Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,114,43,71,37.7%,110-157,41.2%,1198-1357,46.9%,19-21,47.5%,104,65.1%,29.0%,7.6%,7.3%,53.3%,70.9%,43.5%,58.1%,39.7%,48.8%,0.95
Clay,94,49,45,52.1%,107-99,51.9%,1010-956,51.4%,8-10,44.4%,81,68.3%,33.7%,8.2%,7.5%,52.2%,70.2%,47.1%,59.2%,41.6%,50.4%,1.02
Grass,9,1,8,11.1%,4-16,20.0%,84-115,42.2%,0-2,0.0%,9,75.0%,23.3%,8.0%,6.2%,55.9%,73.1%,49.4%,62.7%,31.1%,46.5%,0.83
Grand Slams,35,9,26,25.7%,24-54,30.8%,325-406,44.5%,3-7,30.0%,34,70.3%,25.8%,7.7%,7.3%,52.4%,71.8%,43.8%,58.5%,37.0%,47.7%,0.89
Premiers,28,8,20,28.6%,25-43,36.8%,303-348,46.5%,3-4,42.9%,28,64.2%,33.9%,7.1%,7.3%,52.7%,69.2%,45.1%,57.8%,39.9%,48.9%,0.95
Internationals,130,67,63,51.5%,148-143,50.9%,1407-1379,50.5%,16-18,47.1%,112,71.0%,28.6%,7.9%,7.4%,53.3%,70.9%,45.8%,59.2%,41.3%,50.2%,1.01
Finals,7,0,7,0.0%,2-14,12.5%,52-96,35.1%,0-2,0.0%,5,80.0%,12.5%,7.9%,9.6%,51.0%,67.2%,45.1%,56.4%,34.6%,45.3%,0.79
Semi-finals,11,7,4,63.6%,14-11,56.0%,123-114,51.9%,1-2,33.3%,10,68.2%,26.1%,8.9%,5.0%,58.7%,66.2%,48.4%,58.9%,42.5%,50.6%,1.03
Quarter-finals,20,11,9,55.0%,24-20,54.5%,220-218,50.2%,3-1,75.0%,17,75.7%,29.7%,8.9%,5.4%,54.5%,72.3%,45.8%,60.3%,40.6%,50.3%,1.02
vs Righties,189,86,103,45.5%,201-231,46.5%,2035-2103,49.2%,24-32,42.9%,168,68.5%,32.0%,7.9%,7.4%,53.1%,71.0%,45.4%,59.0%,40.4%,49.7%,0.98
vs Lefties,26,6,20,23.1%,18-39,31.6%,237-305,43.7%,3-1,75.0%,24,51.1%,18.2%,7.6%,7.2%,51.6%,68.6%,43.5%,56.5%,37.2%,47.0%,0.85
vs Top 10,13,3,10,23.1%,9-21,30.0%,112-164,40.6%,2-4,33.3%,13,55.9%,40.0%,8.7%,7.3%,52.6%,65.4%,40.4%,53.5%,37.4%,45.8%,0.80
