Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2016 Australian Open R128,L vs Saville,98.4,111.0,7.6,,,121,87,87.4,5.5,,,98,78
2015 US Open R128,L vs Azarenka,94.0,106.9,9.4,,,117,78,85.7,5.8,,,97,76
2015 Wimbledon R128,L vs Radwanska,99.8,113.9,5.4,,,125,100,90.0,4.7,,,102,82
2015 Roland Garros R64,L vs Azarenka,99.6,110.2,4.2,,,116,99,87.5,5.9,,,100,75
2015 Australian Open R32,L vs Goerges,100.7,107.1,5.2,,,117,96,85.0,4.2,,,93,77
2015 Australian Open R128,W vs Ivanovic,99.0,105.8,4.9,,,118,97,86.8,4.3,,,94,79
2013 US Open R128,L vs Kerber,97.0,,,,,118,,,,,,,73
2013 Australian Open R64,L vs Kerber,97.3,,,,,115,,,,,,,75
2012 US Open R64,L vs Burdette,101.6,,,,,120,,,,,,,76
2012 Wimbledon R128,L vs Kerber,104.7,,,,,118,,,,,,,81
2012 Roland Garros R128,L vs Goerges,101.8,,,,,120,,,,,,,78
2012 Australian Open R64,L vs Zvonareva,95.9,,,,,116,,,,,,,74
2011 Roland Garros R64,L vs Petkovic,102.3,111.9,6.2,,,122,97,86.8,5.4,,,97,78
Career (13 matches),,99.6,109.1,5.7,,,125,78,87.2,5.1,,,102,73
