Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,7,2,5,28.6%,10-14,41.7%,106-123,46.3%,1-2,33.3%,5,73.6%,20.5%,8.3%,4.2%,57.7%,69.2%,50.5%,61.3%,35.1%,47.8%,0.91
Clay,16,6,10,37.5%,17-23,42.5%,181-208,46.5%,3-5,37.5%,14,80.5%,16.7%,8.8%,5.5%,59.8%,75.9%,47.9%,64.7%,35.2%,49.4%,1.00
Grass,1,0,1,0.0%,0-3,0.0%,9-18,33.3%,0-0,-,1,69.2%,0.0%,4.7%,7.1%,68.2%,70.7%,29.6%,57.6%,21.6%,40.9%,0.51
Grand Slams,7,2,5,28.6%,10-16,38.5%,104-132,44.1%,1-0,100.0%,7,72.4%,16.0%,7.1%,4.4%,60.2%,69.2%,48.0%,60.8%,33.0%,46.6%,0.84
Other Tours,13,6,7,46.2%,15-16,48.4%,154-157,49.5%,2-5,28.6%,13,81.7%,17.9%,9.4%,5.7%,59.2%,76.8%,48.0%,65.0%,35.6%,49.9%,1.02
Best of 5,7,2,5,28.6%,10-16,38.5%,104-132,44.1%,1-0,100.0%,7,72.4%,16.0%,7.1%,4.4%,60.2%,69.2%,48.0%,60.8%,33.0%,46.6%,0.84
Best of 3,17,6,11,35.3%,17-24,41.5%,192-217,46.9%,3-7,30.0%,13,81.7%,17.9%,9.4%,5.7%,59.2%,76.8%,48.0%,65.0%,35.6%,49.9%,1.02
Quarter-finals,3,0,3,0.0%,1-6,14.3%,36-43,45.6%,0-3,0.0%,3,84.2%,10.5%,8.5%,6.2%,63.2%,77.3%,40.0%,63.6%,32.7%,48.2%,0.90
vs Righties,24,8,16,33.3%,27-40,40.3%,296-349,45.9%,4-7,36.4%,20,77.7%,17.0%,8.4%,5.2%,59.6%,73.6%,48.0%,63.3%,34.6%,48.5%,0.94
vs Top 10,2,0,2,0.0%,1-5,16.7%,21-37,36.2%,1-1,50.0%,1,61.1%,11.1%,13.1%,5.6%,58.9%,63.5%,38.6%,53.3%,31.0%,41.8%,0.66
