Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Australian Open R64,L vs Humbert,0.77,0.39,20.3,2.0,14.9%,53.2%,9.5%,73.8%,19.5%,17.6%
2025 Australian Open R128,W vs Yunchaokete,0.97,2.10,35.8,2.4,22.9%,91.7%,17.1%,75.6%,32.2%,35.8%
2024 Paris Olympics R64,L vs Alcaraz,1.00,0.46,33.4,2.2,3.1%,40.6%,6.5%,58.1%,16.0%,31.8%
2019 M25 Edwardsville IL R32,L vs Bangoura,1.04,0.42,43.2,2.2,-,47.4%,-,64.9%,12.5%,23.8%
2019 M25 Decatur IL R16,W vs Corwin,1.23,1.80,43.0,2.9,-,70.4%,-,75.0%,37.9%,42.3%
2019 M25 Decatur IL R32,W vs Touliatos,1.00,1.80,41.1,2.0,-,78.6%,-,69.6%,37.5%,54.8%
2019 M25 Iowa City IA R16,W vs Bangoura,1.23,1.51,69.1,2.3,-,68.3%,-,75.0%,34.1%,35.7%
2019 M25 Iowa City IA R32,W vs Lebedev,1.26,1.90,39.2,2.0,-,77.4%,-,75.0%,28.6%,44.0%
2019 M15 Cancun QF,W vs Farren,0.90,1.16,81.9,6.3,-,59.6%,-,70.5%,51.6%,38.2%
2019 M15 Cancun R16,W vs Smith,0.83,1.54,52.3,2.3,-,78.1%,-,75.9%,50.0%,35.1%
2019 M15 Cancun R32,W vs Blumenberg,1.07,1.91,40.7,2.1,-,72.4%,-,75.0%,42.3%,52.2%
2019 M15 Cancun QF,L vs El Mihdawy,0.95,0.61,41.7,2.1,-,48.6%,-,45.2%,34.6%,33.3%
2019 M15 Cancun R32,W vs Mendoza,1.25,1.76,36.5,2.0,-,53.6%,-,65.4%,54.8%,60.7%
2015 USA F34 R32,L vs Laaksonen,0.85,0.47,34.0,2.2,2.9%,52.9%,3.0%,60.6%,11.5%,37.5%
2025 (2 matches),,0.88,0.93,28.8,2.2,18.9%,72.6%,13.3%,74.7%,27.0%,28.7%
2024 (1 matches),,1.00,0.46,33.4,2.2,3.1%,40.6%,6.5%,58.1%,16.0%,31.8%
2019 (10 matches),,1.06,1.31,52.2,2.3,0.0%,64.6%,0.0%,69.0%,40.4%,41.7%
2015 (1 matches),,0.85,0.47,34.0,2.2,2.9%,52.9%,3.0%,60.6%,11.5%,37.5%
Career (14 matches),,1.01,1.09,45.4,2.3,4.0%,63.8%,3.1%,68.7%,34.9%,38.4%
