Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,2,0,2,0.0%,0-4,0.0%,11-24,31.4%,0-0,-,1,55.6%,11.1%,1.8%,10.9%,52.7%,69.0%,38.5%,54.5%,32.7%,43.9%,0.72,
2025,7,2,5,28.6%,7-11,38.9%,84-93,47.5%,2-2,50.0%,5,81.3%,7.6%,12.2%,3.5%,62.1%,75.5%,53.9%,67.3%,27.0%,47.5%,0.83,
2024,2,1,1,50.0%,2-3,40.0%,23-28,45.1%,1-0,100.0%,2,68.0%,16.0%,11.2%,4.3%,59.0%,75.8%,47.0%,64.0%,37.3%,50.6%,1.03,
2023,2,1,1,50.0%,2-2,50.0%,19-19,50.0%,1-0,100.0%,0,,,,,,,,,,,,
2022,2,2,0,100.0%,4-2,66.7%,31-24,56.4%,0-1,0.0%,0,,,,,,,,,,,,
2021,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,37.5%,12.5%,4.8%,7.9%,66.7%,50.0%,42.9%,47.6%,33.3%,41.0%,0.64,
2019,2,0,2,0.0%,1-4,20.0%,19-25,43.2%,0-0,-,0,,,,,,,,,,,,
2018,4,4,0,100.0%,7-2,77.8%,48-39,55.2%,1-0,100.0%,4,91.7%,19.6%,10.9%,6.2%,65.3%,80.4%,55.8%,71.9%,34.4%,53.7%,1.22,
2015,2,1,1,50.0%,3-5,37.5%,38-43,46.9%,0-0,-,0,,,,,,,,,,,,
Career,24,11,13,45.8%,26-35,42.6%,277-307,47.4%,5-3,62.5%,13,78.6%,13.0%,10.6%,5.1%,62.3%,74.9%,51.4%,66.0%,31.6%,49.2%,0.93,
