Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2017 Moscow R16,L vs Vikhlyantseva,3.3,3.4,3.3,43.9%,44.8%,52.9%,40.0%,54.5%,14.9%,-0.5,-0.5,-1.5,-2.1
2017 Beijing R16,L vs Svitolina,4.4,4.9,3.7,39.8%,42.9%,44.4%,42.1%,45.6%,13.0%,-7.5,-5.9,-5.0,-3.5
2017 Wuhan R16,L vs Sakkari,4.2,4.5,3.9,46.2%,45.9%,50.0%,40.0%,62.1%,13.2%,2.0,1.1,1.5,1.5
2017 Toronto R32,L vs Barty,3.6,3.6,3.6,50.4%,45.9%,44.4%,41.2%,45.5%,13.5%,-1.0,-0.8,-7.0,-5.3
2017 Roland Garros R32,L vs Suarez Navarro,4.5,4.6,4.5,44.3%,46.2%,50.0%,46.2%,54.7%,9.9%,0.5,0.3,-4.0,-3.4
2017 Stuttgart R32,W vs Kasatkina,4.0,3.8,4.3,53.2%,60.4%,47.1%,45.5%,54.9%,9.9%,5.5,4.4,9.0,9.0
2017 Charleston R32,L vs Stollar,3.2,3.0,3.4,48.2%,51.2%,57.9%,50.0%,54.1%,12.6%,19.0,14.4,20.5,19.9
2017 Indian Wells F,W vs Kuznetsova,4.0,4.2,3.8,49.3%,50.9%,63.0%,47.8%,43.1%,10.5%,6.0,3.5,13.5,6.3
2017 Indian Wells SF,W vs Mladenovic,3.4,3.6,3.3,54.7%,51.6%,71.4%,50.0%,56.9%,11.6%,15.0,18.3,5.0,8.6
2017 Indian Wells R16,W vs Kerber,4.9,5.3,4.3,55.7%,43.2%,68.4%,61.1%,50.9%,10.5%,2.5,1.9,14.0,12.0
2016 Zhuhai RR,W vs Bertens,3.8,3.3,4.3,51.6%,48.4%,50.0%,56.3%,57.0%,11.2%,10.5,8.8,-5.0,-6.0
2016 Zhuhai RR,L vs Svitolina,4.4,4.8,4.1,38.9%,43.8%,62.5%,53.3%,48.1%,9.7%,3.5,3.0,-0.5,-0.4
2016 Wimbledon SF,L vs Williams,3.3,3.5,3.0,33.3%,11.1%,33.3%,50.0%,42.1%,15.9%,0.5,1.9,-4.5,-12.5
2016 Strasbourg R16,W vs Bondarenko,3.2,3.3,3.1,52.9%,56.8%,33.3%,50.0%,47.4%,8.8%,2.0,2.7,3.5,4.4
2016 Charleston F,L vs Stephens,4.6,5.2,4.0,48.1%,40.0%,61.1%,33.3%,43.9%,9.9%,-6.5,-5.4,6.5,4.5
2016 Charleston QF,W vs Siegemund,4.0,4.3,3.7,60.7%,44.7%,52.9%,28.6%,54.1%,8.5%,1.5,1.4,5.0,5.8
2016 Charleston R32,W vs Bencic,3.6,3.6,3.7,61.8%,62.5%,57.1%,71.4%,46.3%,6.8%,9.5,15.1,12.5,18.4
2016 Miami R32,L vs Konta,3.7,3.9,3.4,42.1%,53.8%,52.9%,61.5%,42.8%,6.0%,0.5,0.5,-1.0,-0.7
2016 Doha R16,W vs Wozniacki,5.6,5.5,5.6,47.8%,57.1%,62.1%,51.4%,52.8%,11.0%,17.0,6.7,0.0,0.0
2016 Doha R32,W vs Halep,4.2,4.0,4.4,50.0%,47.5%,59.3%,62.5%,51.7%,12.9%,4.0,2.1,2.0,1.3
Career (29 matches),,4.0,4.1,3.9,46.9%,49.1%,52.0%,51.3%,48.7%,11.3%,3.7,3.2,4.1,3.6
