Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2017 Moscow R16,L vs Vikhlyantseva,31.3%,38.6%,48.2%,31.3%,40.6%,54.5%,55.6%,29.7%,22.2%,33.3%,33.3%,25.0%,9.1%,0.0%,0.0%,-40
2017 Beijing R16,L vs Svitolina,15.6%,23.3%,41.1%,20.8%,34.0%,47.6%,48.1%,61.5%,75.0%,8.8%,8.8%,32.3%,7.1%,30.0%,14.3%,-25
2017 Wuhan R16,L vs Sakkari,17.2%,24.1%,43.9%,17.0%,28.3%,47.7%,46.2%,59.3%,66.7%,21.4%,21.4%,36.4%,15.4%,26.7%,33.3%,84
2017 Toronto R32,L vs Barty,28.1%,36.5%,50.8%,33.9%,47.5%,51.3%,37.5%,62.9%,100.0%,24.1%,24.1%,50.0%,12.5%,46.2%,0.0%,99
2017 Roland Garros R32,L vs Suarez Navarro,12.1%,21.2%,46.4%,15.9%,28.6%,45.3%,50.0%,41.9%,16.7%,6.1%,9.1%,48.4%,7.1%,36.8%,25.0%,-55
2017 Stuttgart R32,W vs Kasatkina,22.7%,33.3%,45.6%,27.9%,44.2%,61.3%,65.0%,69.6%,66.7%,16.1%,19.4%,26.9%,16.7%,47.4%,50.0%,-66
2017 Charleston R32,L vs Stollar,24.7%,46.1%,47.6%,26.0%,46.0%,45.9%,15.8%,48.4%,0.0%,25.7%,51.4%,50.0%,11.8%,61.1%,0.0%,20
2017 Indian Wells F,W vs Kuznetsova,17.2%,28.7%,44.2%,20.0%,38.6%,55.4%,40.0%,57.5%,57.1%,15.2%,17.4%,28.2%,17.4%,52.2%,66.7%,35
2017 Indian Wells SF,W vs Mladenovic,17.2%,34.5%,56.5%,11.4%,40.0%,67.7%,27.3%,30.8%,-,28.6%,28.6%,33.3%,0.0%,73.3%,100.0%,1
2017 Indian Wells R16,W vs Kerber,12.5%,20.8%,52.5%,15.7%,25.5%,53.5%,45.8%,29.6%,40.0%,5.3%,10.5%,50.0%,63.6%,25.0%,0.0%,-64
2016 Zhuhai RR,W vs Bertens,32.9%,38.0%,55.3%,38.5%,46.2%,65.6%,57.9%,48.5%,100.0%,28.6%,28.6%,33.3%,0.0%,45.5%,-,137
2016 Zhuhai RR,L vs Svitolina,11.5%,26.2%,50.0%,13.9%,36.1%,54.8%,50.0%,55.6%,0.0%,8.7%,13.0%,42.9%,0.0%,30.8%,33.3%,-27
2016 Wimbledon SF,L vs Williams,20.9%,27.9%,28.1%,26.9%,38.5%,31.6%,35.7%,50.0%,100.0%,13.3%,13.3%,23.1%,14.3%,12.5%,0.0%,17
2016 Strasbourg R16,W vs Bondarenko,29.9%,40.3%,46.7%,31.6%,47.4%,38.5%,33.3%,20.0%,0.0%,29.6%,33.3%,57.9%,21.4%,7.7%,0.0%,-21
2016 Charleston F,L vs Stephens,14.7%,24.0%,42.2%,17.5%,28.1%,44.7%,45.0%,37.8%,44.4%,5.6%,11.1%,35.3%,0.0%,33.3%,-,-104
2016 Charleston QF,W vs Siegemund,17.5%,28.6%,54.2%,20.5%,30.8%,58.1%,42.1%,40.0%,0.0%,15.0%,30.0%,47.1%,22.2%,0.0%,0.0%,25
2016 Charleston R32,W vs Bencic,23.5%,39.2%,57.9%,18.2%,39.4%,66.7%,50.0%,70.6%,-,35.3%,41.2%,36.4%,0.0%,20.0%,50.0%,-37
2016 Miami R32,L vs Konta,20.5%,26.1%,51.5%,22.8%,29.8%,47.7%,45.8%,24.2%,0.0%,17.2%,20.7%,58.3%,0.0%,6.7%,0.0%,-26
2016 Doha R16,W vs Wozniacki,13.4%,22.7%,49.4%,15.8%,28.1%,52.1%,50.0%,34.5%,40.0%,10.8%,16.2%,45.5%,26.7%,9.1%,0.0%,-13
2016 Doha R32,W vs Halep,14.5%,26.5%,45.9%,17.1%,32.9%,55.9%,42.1%,40.9%,40.0%,9.1%,12.1%,23.3%,11.8%,25.0%,100.0%,-35
Career (29 matches),,19.0%,29.0%,46.3%,22.1%,35.6%,50.3%,42.6%,44.4%,42.3%,15.6%,19.8%,38.9%,13.6%,31.0%,29.5%,39
