Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2010,1,0,1,0.0%,1-2,33.3%,14-17,45.2%,0-0,-,1,-,-,1.9%,1.0%,68.9%,57.7%,53.1%,56.3%,39.8%,48.5%,0.91,R64 (Charleston)
2008,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,-,-,1.6%,8.1%,64.5%,55.0%,36.4%,48.4%,35.7%,42.4%,0.69,R32 (Memphis)
2006,16,5,11,31.3%,15-22,40.5%,148-185,44.4%,1-1,50.0%,10,-,-,3.7%,6.7%,64.7%,60.7%,46.6%,55.8%,40.0%,47.7%,0.90,R16 (2x)
2005,36,13,23,36.1%,31-53,36.9%,362-439,45.2%,6-4,60.0%,10,-,-,3.8%,5.4%,66.4%,60.2%,39.7%,53.3%,43.0%,48.4%,0.92,QF (4x)
2004,25,13,12,52.0%,29-27,51.8%,262-248,51.4%,1-0,100.0%,1,-,-,5.8%,5.8%,55.1%,68.4%,29.0%,50.7%,44.2%,47.0%,0.90,F (Japan Open)
2003,6,1,5,16.7%,4-11,26.7%,60-87,40.8%,1-1,50.0%,0,,,,,,,,,,,,R32 (3x)
2002,6,1,5,16.7%,3-10,23.1%,51-75,40.5%,1-1,50.0%,0,,,,,,,,,,,,R32 (Sarasota)
2001,3,1,2,33.3%,3-4,42.9%,29-35,45.3%,0-0,-,0,,,,,,,,,,,,R64 (2x)
2000,12,3,9,25.0%,7-19,26.9%,94-146,39.2%,3-0,100.0%,0,,,,,,,,,,,,R16 (3x)
1999,9,4,5,44.4%,8-9,47.1%,68-78,46.6%,1-1,50.0%,0,,,,,,,,,,,,QF (Quebec City)
1998,4,1,3,25.0%,2-5,28.6%,29-39,42.6%,1-1,50.0%,0,,,,,,,,,,,,R16 (Quebec City)
1994,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,0,,,,,,,,,,,,R32 (Stratton Mountain)
Career,120,42,78,35.0%,103-166,38.3%,1125-1373,45.0%,15-9,62.5%,23,-,-,3.7%,5.8%,65.4%,60.4%,42.5%,54.2%,41.4%,47.9%,0.90,
