Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2011,3,1,2,33.3%,2-4,33.3%,23-30,43.4%,0-0,-,0,,,,,,,,,,,,R16 (El Paso TX 25K)
2010,16,7,9,43.8%,17-20,45.9%,166-177,48.4%,3-0,100.0%,0,,,,,,,,,,,,QF (El Paso TX 25K)
2009,25,12,13,48.0%,31-25,55.4%,260-236,52.4%,1-0,100.0%,0,,,,,,,,,,,,F (El Paso TX 25K)
2008,15,8,7,53.3%,18-17,51.4%,161-172,48.3%,3-1,75.0%,0,,,,,,,,,,,,W (Carson CA 50K)
2007,5,1,4,20.0%,3-8,27.3%,35-61,36.5%,1-0,100.0%,0,,,,,,,,,,,,R16 (La Quinta CA 50K)
2004,21,14,7,66.7%,30-20,60.0%,250-216,53.6%,2-5,28.6%,0,,,,,,,,,,,,F (2x)
2003,14,6,8,42.9%,18-16,52.9%,168-160,51.2%,2-2,50.0%,0,,,,,,,,,,,,QF (2x)
2002,43,27,16,62.8%,59-43,57.8%,491-454,52.0%,5-3,62.5%,0,,,,,,,,,,,,F (Midland 75K)
2001,31,20,11,64.5%,40-24,62.5%,323-277,53.8%,3-4,42.9%,0,,,,,,,,,,,,W (Albuqerque 75K)
2000,7,1,6,14.3%,4-12,25.0%,70-89,44.0%,0-0,-,0,,,,,,,,,,,,R16 (Virginia Beach 25K)
1999,13,6,7,46.2%,13-13,50.0%,116-115,50.2%,2-2,50.0%,0,,,,,,,,,,,,SF (Largo 50K)
1998,33,19,14,57.6%,36-29,55.4%,304-280,52.1%,5-4,55.6%,0,,,,,,,,,,,,F (2x)
1997,13,7,6,53.8%,11-13,45.8%,113-108,51.1%,3-2,60.0%,0,,,,,,,,,,,,SF (2x)
1996,9,3,6,33.3%,7-11,38.9%,76-84,47.5%,1-1,50.0%,0,,,,,,,,,,,,R16 (3x)
1995,25,15,10,60.0%,36-24,60.0%,293-244,54.6%,2-1,66.7%,0,,,,,,,,,,,,F (ITF Hilton Head)
1994,9,5,4,55.6%,12-11,52.2%,109-108,50.2%,0-2,0.0%,0,,,,,,,,,,,,F (ITF Indianapolis)
1993,5,1,4,20.0%,3-8,27.3%,33-58,36.3%,0-0,-,0,,,,,,,,,,,,R16 (ITF Indianapolis)
Career,287,153,134,53.3%,340-298,53.3%,2991-2869,51.0%,33-27,55.0%,0,,,,,,,,,,,,
