Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2011,711,28,,,,,,,,,190,365,,
2010,364,118,222,1458,213,1428,217,1409,,,140,526,,
2009,282,162,216,1478,208,1438,191,1448,,,,,,
2008,309,77,196,1523,189,1478,183,1470,123,1510,,,,
2007,861,8,,,,,,,,,,,,
2006,230,116,102,1690,103,1630,125,1568,58,1615,,,,
2005,73,470,68,1758,78,1668,94,1626,38,1685,,,,
2004,53,635,84,1744,85,1671,107,1619,72,1604,,,,
2003,199,143,156,1566,146,1526,191,1443,165,1448,,,,
2002,109,318,120,1634,110,1595,177,1496,122,1507,,,,
2001,134,236,143,1620,127,1579,178,1460,100,1540,,,,
2000,142,215,107,1685,107,1616,174,1486,82,1581,,,,
1999,130,213,137,1626,122,1575,184,1443,133,1469,,,,
1998,165,147,173,1547,161,1505,199,1383,163,1417,,,,
1997,238,76,155,1603,133,1569,,,,,,,,
1996,369,33,,,,,,,,,,,,
1995,328,3,221,1608,169,1585,362,1425,,,,,,
1994,407,1,443,1373,403,1344,428,1314,,,,,,
1993,,,607,1229,571,1219,,,,,,,,
