Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Davis Cup Finals QF,L vs Van De Zandschulp,3.5,4.2,2.8,54.3%,29.4%,40.0%,0.0%,62.8%,31.3%,-0.5,-1.0,1.0,4.5
2024 Olympics R32,L vs Djokovic,4.9,5.5,4.2,40.0%,35.7%,31.3%,66.7%,55.8%,17.9%,-4.5,-4.0,1.5,2.0
2024 Olympics R64,W vs Fucsovics,4.8,4.9,4.6,51.3%,58.9%,52.2%,66.7%,59.3%,8.5%,21.0,10.7,16.5,12.8
2024 Bastad F,L vs Borges,4.3,4.5,4.1,36.1%,46.2%,50.0%,40.0%,58.8%,7.5%,3.0,2.8,-6.5,-9.2
2024 Bastad QF,W vs Navone,6.1,6.0,6.2,54.3%,47.6%,56.5%,49.2%,46.5%,5.4%,16.5,5.2,-10.5,-2.9
2024 Bastad R32,W vs Borg,3.9,3.3,4.5,52.5%,60.0%,40.0%,75.0%,64.7%,16.7%,13.5,13.1,1.0,2.0
2024 Roland Garros R128,L vs Zverev,5.4,6.0,4.7,40.7%,52.6%,48.6%,38.7%,49.2%,8.2%,10.0,4.7,-5.0,-2.5
2024 Rome R64,L vs Hurkacz,4.9,5.6,4.2,33.3%,60.0%,42.1%,31.3%,52.1%,10.6%,3.5,3.4,0.0,0.0
2024 Madrid R64,W vs De Minaur,5.8,6.9,4.7,48.1%,46.7%,56.0%,65.0%,51.5%,4.4%,10.5,6.5,6.5,4.4
2024 Barcelona R64,W vs Cobolli,4.2,4.1,4.3,49.2%,75.0%,57.1%,81.8%,57.0%,5.0%,11.0,10.8,0.5,0.7
2024 Brisbane QF,L vs Thompson,4.6,4.4,4.9,53.2%,37.0%,47.8%,62.5%,64.2%,12.1%,27.0,10.3,9.0,7.6
2024 Brisbane R16,W vs Kubler,4.6,4.4,4.8,61.2%,55.6%,69.2%,75.0%,59.0%,14.7%,15.0,14.4,4.0,6.3
2024 Brisbane R32,W vs Thiem,3.6,3.7,3.6,56.9%,54.5%,85.7%,100.0%,52.4%,14.7%,17.0,23.0,1.0,1.8
2023 Australian Open R64,L vs Mcdonald,4.6,4.7,4.4,40.4%,45.1%,85.0%,36.4%,66.1%,43.8%,14.5,6.2,-3.0,-4.5
2023 Australian Open R128,W vs Draper,4.8,5.2,4.4,48.4%,61.5%,54.1%,60.0%,63.7%,19.7%,36.5,12.2,-3.5,-2.5
2022 Tour Finals RR,W vs Ruud,3.8,3.0,4.4,56.1%,57.1%,58.3%,66.7%,51.1%,11.4%,6.0,6.8,0.0,0.0
2022 Tour Finals RR,L vs Auger Aliassime,3.6,3.8,3.4,39.3%,47.4%,71.4%,58.3%,50.0%,11.8%,5.0,6.3,2.5,3.4
2022 Tour Finals RR,L vs Fritz,3.4,3.0,3.9,48.8%,28.6%,38.5%,57.1%,60.1%,38.8%,4.0,4.0,-5.0,-12.8
2022 Paris R32,L vs Paul,3.7,3.8,3.5,45.5%,47.8%,72.2%,18.2%,61.4%,32.0%,11.0,7.2,-2.0,-3.0
2022 US Open R16,L vs Tiafoe,3.6,3.5,3.6,46.1%,53.3%,43.8%,58.3%,46.0%,29.7%,17.0,12.0,0.5,0.4
Career (523 matches),,4.7,5.0,4.5,51.2%,54.5%,54.9%,54.0%,55.1%,17.3%,15.4,8.8,2.6,2.1
