Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,153,380,31,1855,41,1766,23,1818,,,857,45,,
2023,670,45,,,,,,,,,,,,
2022,2,6020,13,1978,17,1893,7,1978,12,1804,,,,
2021,6,4875,4,2106,4,2002,2,2096,,,,,,
2020,2,9850,2,2200,2,2120,1,2177,,,444,95,,
2019,1,9985,1,2224,1,2141,1,2187,3,1966,,,,
2018,2,7480,1,2244,2,2138,1,2239,3,1979,,,,
2017,1,10645,4,2169,4,2089,2,2178,6,1907,542,90,,
2016,9,3300,7,2052,12,1969,3,2129,,,132,590,49,1716
2015,5,5230,4,2170,4,2100,2,2189,5,1935,88,880,17,1846
2014,3,6835,3,2198,3,2115,2,2242,4,1953,805,45,,
2013,1,13030,2,2313,2,2223,1,2305,4,2026,384,160,,
2012,4,6690,3,2283,3,2185,1,2320,4,2091,68,1090,,
2011,2,9595,2,2244,3,2142,1,2284,2,2108,113,700,48,1704
2010,1,12450,2,2252,2,2162,1,2277,2,2120,79,1000,,
2009,2,9205,5,2168,5,2075,2,2204,,,132,520,52,1675
2008,1,6675,1,2306,2,2185,1,2328,2,2177,92,700,36,1725
2007,2,5735,2,2208,2,2096,1,2259,2,2028,119,455,33,1719
2006,2,4470,2,2159,2,2039,2,2207,3,1945,313,170,,
2005,2,4765,2,2215,2,2116,1,2229,9,1814,49,1040,15,1801
2004,51,775,27,1867,35,1777,10,1897,,,46,1255,25,1749
2003,49,766,47,1817,67,1704,26,1833,54,1644,185,253,,
2002,200,165,,,,,,,,,942,19,,
2001,811,11,,,,,,,,,1536,1,,
