Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),372,125,,,,,,,,,,,,
2025,313,165,174,1603,141,1590,142,1590,,,,,,
2024,129,470,140,1643,125,1615,131,1593,86,1595,,,,
2023,76,735,101,1692,94,1654,96,1641,64,1629,,,,
2022,68,740,53,1790,56,1736,53,1725,35,1702,,,,
2021,87,807,61,1766,64,1713,53,1724,45,1688,,,,
2020,47,1145,42,1793,42,1749,46,1722,,,,,,
2019,61,890,51,1796,59,1733,51,1728,42,1688,,,,
2018,26,1535,22,1905,25,1840,16,1869,21,1791,,,,
2017,31,1375,22,1924,25,1850,17,1876,19,1792,,,,
2016,18,1885,14,1994,17,1923,12,1960,11,1860,857,45,,
2015,9,2850,10,2019,12,1943,11,1946,8,1876,600,90,,
2014,26,1350,23,1896,23,1842,23,1853,23,1763,188,400,,
2013,9,3300,10,2014,10,1972,10,1952,12,1863,237,270,,
2012,10,2515,12,1984,13,1917,9,1963,11,1843,180,360,50,1698
2011,19,1765,13,1978,15,1905,11,1944,11,1863,206,315,,
2010,30,1385,17,1936,24,1857,18,1888,10,1831,452,115,,
2009,52,850,45,1813,42,1760,33,1802,,,129,520,,
2008,25,1160,22,1908,17,1859,20,1856,8,1853,83,825,10,1832
2007,8,1930,9,1979,9,1927,10,1905,5,1918,78,730,28,1753
2006,18,1365,9,1997,14,1886,6,1931,4,1910,112,460,79,1586
2005,16,1506,15,1938,23,1835,13,1903,6,1846,411,105,,
2004,107,413,99,1695,82,1672,88,1657,74,1598,969,20,,
2003,93,404,115,1672,83,1663,100,1625,,,425,95,,
2002,161,225,128,1652,125,1589,95,1657,99,1564,1312,5,,
2001,1309,2,,,,,,,,,,,,
