Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Roland Garros R64,L vs Sinner,21,29,0.7,13.8%,19.1%,19,24,0.8,13.4%,16.9%,7.7%,5.6%,1.2,17.1%,14.5%
2025 Roland Garros R128,W vs Atmane,24,16,1.5,11.5%,7.7%,21,13,1.6,11.2%,7.0%,5.3%,5.9%,0.8,23.0%,29.7%
2025 Montpellier R16,L vs Griekspoor,48,21,2.3,26.4%,11.5%,37,18,2.1,25.0%,12.2%,11.5%,2.0%,1.8,31.9%,18.1%
2025 Montpellier R32,W vs Mannarino,31,14,2.2,29.8%,13.5%,27,11,2.5,28.7%,11.7%,8.5%,8.5%,0.8,17.3%,21.2%
2024 Stuttgart R16,L vs Nakashima,17,18,0.9,15.0%,15.9%,9,13,0.7,10.3%,14.9%,4.6%,5.7%,1.8,23.9%,13.3%
2024 Roland Garros R64,L vs Sinner,18,19,0.9,10.7%,11.3%,18,15,1.2,11.8%,9.8%,5.9%,5.2%,1.2,23.2%,19.6%
2024 Roland Garros R128,W vs Coric,45,23,2.0,20.1%,10.3%,36,19,1.9,18.5%,9.7%,10.3%,8.2%,1.0,21.9%,21.0%
2024 Doha R16,L vs Rublev,20,10,2.0,20.2%,10.1%,16,10,1.6,18.6%,11.6%,3.5%,3.5%,2.5,40.4%,16.2%
2024 Auckland R32,L vs Fils,19,9,2.1,18.1%,8.6%,17,9,1.9,18.5%,9.8%,3.3%,4.3%,2.1,37.1%,18.1%
2023 Paris Masters R64,L vs Paul,26,29,0.9,15.7%,17.5%,21,26,0.8,14.5%,17.9%,6.2%,6.9%,1.1,20.5%,18.7%
2023 Shanghai Masters R128,L vs Zhang,14,14,1.0,15.9%,15.9%,14,11,1.3,19.2%,15.1%,6.8%,1.4%,3.2,39.8%,12.5%
2023 US Open R128,L vs Marozsan,48,36,1.3,15.7%,11.8%,35,31,1.1,13.0%,11.5%,8.2%,4.1%,1.3,30.5%,23.9%
2023 Wimbledon R128,L vs Moutet,30,37,0.8,14.0%,17.3%,29,33,0.9,14.9%,17.0%,6.7%,7.2%,1.8,23.4%,13.1%
2023 Halle R32,L vs Sinner,31,35,0.9,14.4%,16.3%,27,32,0.8,13.8%,16.4%,7.7%,6.2%,1.4,20.9%,14.9%
2023 Stuttgart R16,W vs Tsitsipas,35,26,1.3,16.7%,12.4%,29,20,1.5,16.7%,11.5%,7.5%,8.6%,1.1,19.6%,18.7%
2023 Madrid Masters R64,L vs Hurkacz,30,33,0.9,14.2%,15.6%,21,29,0.7,12.7%,17.6%,8.5%,4.2%,1.1,25.6%,23.2%
2023 Monte Carlo Masters R64,L vs Thiem,9,13,0.7,7.8%,11.3%,8,12,0.7,7.6%,11.4%,4.8%,2.9%,0.9,17.4%,19.1%
2023 Indian Wells Masters R64,L vs Sinner,14,26,0.5,10.6%,19.7%,9,22,0.4,8.0%,19.5%,6.2%,1.8%,1.6,25.0%,15.9%
2023 Rotterdam R16,L vs Wawrinka,23,15,1.5,19.7%,12.8%,22,10,2.2,22.2%,10.1%,5.1%,3.0%,2.1,35.9%,17.1%
2023 Auckland F,W vs Norrie,32,23,1.4,18.3%,13.1%,29,21,1.4,18.1%,13.1%,8.1%,8.8%,1.5,17.7%,12.0%
Career (223 matches),,6727,5309,1.3,16.9%,13.3%,5512,4706,1.2,15.5%,13.3%,5.9%,4.7%,1.1,20.1%,17.5%
