Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,279,180,99,64.5%,372-245,60.3%,2968-2481,54.5%,40-33,54.8%,1,22.2%,37.5%,0.0%,3.3%,53.3%,56.3%,21.4%,40.0%,46.7%,42.9%,0.78
Clay,399,276,123,69.2%,600-345,63.5%,4634-3689,55.7%,44-34,56.4%,0,,,,,,,,,,,
Grass,16,2,14,12.5%,7-34,17.1%,146-240,37.8%,1-1,50.0%,0,,,,,,,,,,,
Carpet,215,119,96,55.3%,256-219,53.9%,2211-2099,51.3%,24-20,54.5%,0,,,,,,,,,,,
Grand Slams,85,58,27,68.2%,156-105,59.8%,1233-1060,53.8%,14-11,56.0%,0,,,,,,,,,,,
Masters,86,49,37,57.0%,106-84,55.8%,878-797,52.4%,7-5,58.3%,1,22.2%,37.5%,0.0%,3.3%,53.3%,56.3%,21.4%,40.0%,46.7%,42.9%,0.78
Other Tours,743,472,271,63.5%,972-657,59.7%,7838-6648,54.1%,88-73,54.7%,0,,,,,,,,,,,
Best of 5,116,72,44,62.1%,213-170,55.6%,1765-1635,51.9%,18-16,52.9%,0,,,,,,,,,,,
Best of 3,810,516,294,63.7%,1051-691,60.3%,8412-7061,54.4%,91-73,55.5%,1,22.2%,37.5%,0.0%,3.3%,53.3%,56.3%,21.4%,40.0%,46.7%,42.9%,0.78
Finals,38,22,16,57.9%,51-45,53.1%,429-419,50.6%,7-8,46.7%,0,,,,,,,,,,,
Semi-finals,72,38,34,52.8%,85-93,47.8%,769-806,48.8%,5-4,55.6%,0,,,,,,,,,,,
Quarter-finals,128,67,61,52.3%,145-134,52.0%,1258-1233,50.5%,16-14,53.3%,0,,,,,,,,,,,
vs Righties,780,506,274,64.9%,1086-710,60.5%,8672-7273,54.4%,97-71,57.7%,0,,,,,,,,,,,
vs Lefties,146,82,64,56.2%,178-151,54.1%,1505-1423,51.4%,12-18,40.0%,1,22.2%,37.5%,0.0%,3.3%,53.3%,56.3%,21.4%,40.0%,46.7%,42.9%,0.78
vs Top 10,104,22,82,21.2%,58-177,24.7%,781-1252,38.4%,7-11,38.9%,0,,,,,,,,,,,
