Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1991,1106,2,,,,,,,,,,,,
1986,240,,132,1636,90,1663,79,1688,115,1494,,,,
1985,106,,,,,,,,,,,,,
1984,223,,,,,,,,,,,,,
1983,,,77,1759,40,1762,44,1782,,,,,,
1982,66,,36,1871,20,1861,21,1889,,,,,,
1981,21,,31,1891,17,1868,19,1921,,,,,,
1980,7,,9,2046,7,1998,9,2037,,,,,,
1979,8,,8,2038,11,1935,8,2042,,,,,,
1978,9,,12,1983,14,1890,9,2014,,,,,,
1977,16,,10,2012,10,1907,8,2027,56,1688,,,,
1976,8,,10,2044,5,1967,8,2032,,,,,,
1975,17,,15,1968,9,1896,13,1932,,,,,,
1974,16,,20,1921,15,1873,14,1916,78,1659,,,,
1973,59,,42,1808,26,1766,37,1769,71,1646,,,,
