Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,1,0,1,0.0%,1-2,33.3%,15-18,45.5%,1-0,100.0%,1,37.5%,50.0%,1.0%,8.9%,62.4%,52.4%,34.2%,45.5%,51.0%,48.3%,0.94,R32 (Karlsruhe)
2018,4,2,2,50.0%,4-6,40.0%,46-48,48.9%,1-1,50.0%,2,81.8%,30.4%,2.8%,5.6%,65.7%,63.8%,57.1%,61.5%,39.1%,50.5%,1.02,QF (Southsea $100K)
2016,5,1,4,20.0%,3-8,27.3%,40-58,40.8%,0-1,0.0%,0,,,,,,,,,,,,R16 (Gonesse $10K)
2015,21,8,13,38.1%,18-28,39.1%,200-221,47.5%,1-6,14.3%,0,,,,,,,,,,,,F (Irapuato $25K)
2014,46,29,17,63.0%,67-45,59.8%,560-482,53.7%,8-6,57.1%,0,,,,,,,,,,,,F (3x)
2013,37,19,18,51.4%,43-41,51.2%,388-387,50.1%,2-4,33.3%,0,,,,,,,,,,,,W (Caserta 25K)
2012,46,31,15,67.4%,71-38,65.1%,582-445,56.7%,8-8,50.0%,0,,,,,,,,,,,,W (3x)
2011,35,22,13,62.9%,48-30,61.5%,394-290,57.6%,1-5,16.7%,0,,,,,,,,,,,,F (2x)
2010,43,33,10,76.7%,70-29,70.7%,537-353,60.3%,3-6,33.3%,0,,,,,,,,,,,,W (5x)
2009,62,40,22,64.5%,82-53,60.7%,681-550,55.3%,7-5,58.3%,0,,,,,,,,,,,,W (Podgorica 25K)
2008,34,18,16,52.9%,46-36,56.1%,413-359,53.5%,6-5,54.5%,0,,,,,,,,,,,,F (Petange 75K)
2007,41,24,17,58.5%,56-41,57.7%,485-419,53.7%,7-3,70.0%,0,,,,,,,,,,,,W (Gdynia 25K)
2006,61,39,22,63.9%,84-59,58.7%,726-584,55.4%,4-11,26.7%,0,,,,,,,,,,,,W (2x)
2005,45,25,20,55.6%,47-47,50.0%,436-415,51.2%,4-4,50.0%,0,,,,,,,,,,,,W (Amiens 10K)
2004,4,0,4,0.0%,3-8,27.3%,46-60,43.4%,0-2,0.0%,0,,,,,,,,,,,,R32 (4x)
2003,22,10,12,45.5%,22-30,42.3%,226-240,48.5%,0-2,0.0%,0,,,,,,,,,,,,F (Saint Gaudens 75K)
2002,37,21,16,56.8%,45-39,53.6%,397-386,50.7%,2-4,33.3%,0,,,,,,,,,,,,SF (4x)
2001,42,27,15,64.3%,60-38,61.2%,485-410,54.2%,6-3,66.7%,0,,,,,,,,,,,,W (Mexico City 25K)
2000,7,4,3,57.1%,8-7,53.3%,67-57,54.0%,1-1,50.0%,0,,,,,,,,,,,,F (Stare Splavy 10K)
Career,593,353,240,59.5%,778-585,57.1%,6724-5782,53.8%,62-77,44.6%,3,63.2%,38.5%,2.0%,7.0%,64.3%,59.2%,47.1%,54.9%,44.2%,49.6%,0.98,
