Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,1,2,33.3%,3-4,42.9%,27-30,47.4%,0-0,-,3,42.9%,51.7%,1.0%,7.7%,61.1%,51.2%,40.7%,47.1%,50.7%,48.9%,0.96,R16 (W35 Sabadell)
2025,47,23,24,48.9%,51-59,46.4%,497-502,49.7%,5-7,41.7%,42,55.3%,43.8%,1.2%,4.0%,66.8%,56.6%,44.0%,52.4%,46.9%,49.7%,0.99,W (W35 Sao Paulo)
2024,48,30,18,62.5%,61-46,57.0%,512-441,53.7%,4-5,44.4%,22,55.3%,40.5%,1.0%,3.9%,71.6%,54.9%,43.1%,51.5%,46.1%,48.8%,0.95,W (2x)
2023,44,30,14,68.2%,64-38,62.7%,511-399,56.2%,4-3,57.1%,25,60.0%,49.5%,1.3%,4.2%,69.8%,58.1%,47.4%,54.9%,49.0%,51.8%,1.08,W (2x)
2022,33,17,16,51.5%,37-35,51.4%,341-324,51.3%,3-5,37.5%,14,50.8%,38.5%,0.7%,2.2%,72.9%,53.0%,43.5%,50.4%,44.6%,47.4%,0.90,F (W60 Barranquilla)
2021,64,44,20,68.8%,93-50,65.0%,714-526,57.6%,3-5,37.5%,5,59.7%,43.8%,0.5%,3.2%,68.2%,56.1%,46.4%,53.0%,45.0%,49.2%,0.96,W (3x)
2020,17,7,10,41.2%,20-22,47.6%,203-199,50.5%,1-3,25.0%,0,,,,,,,,,,,,SF (W15 Melilla)
2019,32,20,12,62.5%,42-29,59.2%,337-281,54.5%,2-0,100.0%,0,,,,,,,,,,,,F (3x)
2018,19,7,12,36.8%,16-27,37.2%,164-220,42.7%,2-2,50.0%,0,,,,,,,,,,,,SF (Hammamet $15K)
2017,44,25,19,56.8%,55-42,56.7%,463-420,52.4%,4-4,50.0%,0,,,,,,,,,,,,F (2x)
2016,35,16,19,45.7%,39-40,49.4%,356-359,49.8%,1-4,20.0%,0,,,,,,,,,,,,W (Sao Jose Do Rio Preto $10K)
2015,60,37,23,61.7%,81-51,61.4%,653-499,56.7%,4-3,57.1%,0,,,,,,,,,,,,W (Pereira $10K)
2014,32,13,19,40.6%,28-41,40.6%,261-322,44.8%,2-0,100.0%,0,,,,,,,,,,,,W (Campos Do Jordao 15K)
2013,63,38,25,60.3%,82-59,58.2%,655-569,53.5%,4-3,57.1%,0,,,,,,,,,,,,F (2x)
2012,31,18,13,58.1%,38-30,55.9%,310-266,53.8%,2-2,50.0%,0,,,,,,,,,,,,W (Sao Jose Dos Campos 10K)
2011,13,5,8,38.5%,10-16,38.5%,99-117,45.8%,0-0,-,0,,,,,,,,,,,,R16 (5x)
2010,7,1,6,14.3%,4-13,23.5%,54-88,38.0%,0-0,-,0,,,,,,,,,,,,R16 (Mogi Das Cruzes 10K)
2009,4,1,3,25.0%,4-6,40.0%,41-52,44.1%,1-1,50.0%,0,,,,,,,,,,,,R16 (Fortaleza 10K)
Career,596,333,263,55.9%,728-608,54.5%,6198-5614,52.5%,42-47,47.2%,111,55.8%,44.1%,1.1%,3.9%,69.0%,56.0%,44.6%,52.5%,47.0%,49.7%,0.99,
