Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2020 Australian Open R64,L vs Bertens,71.4%,42.5%,0.0%,0/0,2.81,0.0%,73.7%,39.3%,0.0%,2.77,0.0%,85.7%,50.0%,0.0%,2.89,0.0%
2020 Australian Open R128,W vs Bondarenko,71.7%,59.2%,7.1%,3/4,2.65,1.4%,74.2%,54.3%,6.5%,2.69,1.9%,80.6%,68.0%,9.7%,2.54,0.0%
2015 Australian Open R128,L vs Puig,60.4%,41.4%,4.2%,0/2,2.31,3.0%,56.7%,41.2%,3.3%,2.46,4.0%,75.0%,41.7%,6.3%,1.84,0.0%
Career (3 matches),,69.0%,50.7%,4.4%,33.3%,2.64,1.2%,70.0%,47.3%,3.8%,2.67,1.7%,80.3%,57.1%,6.6%,2.55,0.0%
