Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,R64,Andres Gimeno [ESP] / Roger Taylor [GBR] d. Gottfried / Sandy Mayer [USA],6-4 3-6 6-1 6-4
01-Sep-1970,South Orange,Hard,QF,Jim Mcmanus / Jim Osborne [USA] d. Gottfried / Dick Stockton [USA],7-6 7-6
01-Sep-1970,South Orange,Hard,R16,Gottfried / Dick Stockton [USA] d. Terry Addison / Bob Carmichael [AUS],4-6 6-4 6-4
17-Aug-1970,Merion,Grass,R32,Brian Fairlie / Onny Parun [NZL] d. Gottfried / Gene Mayer [USA],7-6 6-7 6-4
