Date,Tournament,Surface,Rd,,Score
30-Nov-1960,La Jolla Nationals,Hard,F,Carole Graebner / Chris Crawford [USA] d. Canning Todd / Jim Mcmanus [USA],6-4 6-1
03-Jan-1959,Phoenix,Hard,F,Karen Susman / Hugh Ditzler [USA] d. Canning Todd / Glenn Bassett [USA],6-3 6-4
12-Dec-1957,La Jolla Natls,Hard,F,Sally Moore [USA] / Michael Davies [GBR] d. Canning Todd / Canning [USA],1-1 RET
28-Feb-1957,Phoenix,Hard,F,Louise Brough / George Druliner [USA] d. Canning Todd / Glenn Bassett [USA],6-2 10-8
