Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1957,,,34,1691,14,1594,,,17,1704,,,,
1952,,,5,2033,,,3,1907,4,1962,,,,
1951,,,7,2010,4,1808,5,1886,7,1938,,,,
1950,,,5,2021,4,1816,5,1888,5,1941,,,,
1949,,,4,1971,6,1777,,,4,1895,,,,
1948,,,3,1988,4,1799,1,1905,4,1890,,,,
1947,,,6,1936,4,1772,6,1818,7,1837,,,,
1946,,,11,1824,6,1719,15,1662,10,1746,,,,
1945,,,8,1879,7,1719,6,1752,8,1768,,,,
1944,,,12,1720,7,1623,,,12,1627,,,,
1942,,,7,1813,,,4,1706,9,1665,,,,
1941,,,13,1777,7,1646,7,1645,12,1660,,,,
1940,,,24,1661,15,1462,19,1562,21,1584,,,,
1939,,,54,1645,24,1385,84,1399,52,1556,,,,
1938,,,115,1417,32,1291,96,1308,102,1337,,,,
