Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Campinas CH QF,L vs Guillen Meza,75.6%,48.5%,3.3%,3/0,1.93,3.5%,77.0%,44.7%,0.0%,1.79,5.7%,84.0%,57.1%,12.0%,2.16,0.0%
2025 Merida CH R16,W vs Popko,78.6%,50.6%,1.9%,1/1,2.01,1.2%,80.6%,46.3%,1.5%,1.99,2.0%,90.0%,59.3%,3.3%,2.03,0.0%
2025 Hersonissos CH R32,L vs Sakellaridis,60.0%,40.0%,6.0%,0/3,1.78,0.0%,51.5%,23.5%,3.0%,1.76,0.0%,76.5%,61.5%,11.8%,1.81,0.0%
2025 Buenos Aires CH R32,L vs Varillas,79.1%,50.0%,3.9%,4/1,2.04,1.9%,75.0%,48.3%,2.5%,2.02,4.1%,91.3%,52.4%,6.5%,2.06,0.0%
2024 Temuco CH R16,W vs Kovacevic,58.6%,56.1%,4.3%,1/2,2.38,17.5%,60.5%,65.4%,0.0%,2.34,27.3%,68.2%,40.0%,13.6%,2.42,5.6%
2024 Vicenza CH R16,W vs Gaubas,84.3%,47.3%,0.9%,0/1,2.01,5.7%,82.1%,43.6%,0.0%,1.92,8.8%,90.0%,52.8%,2.5%,2.17,0.0%
2024 Asuncion CH R32,L vs Varillas,78.1%,44.0%,1.6%,0/1,2.11,3.6%,84.4%,39.5%,2.2%,2.04,7.4%,85.7%,58.3%,0.0%,2.17,0.0%
Career (7 matches),,75.4%,48.6%,2.9%,50.0%,2.02,4.0%,75.0%,45.5%,1.3%,1.96,6.6%,85.6%,54.2%,6.7%,2.11,0.5%
