Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Campinas CH QF,L vs Guillen Meza,0.79,0.68,36.5,2.4,2.9%,45.7%,0.0%,59.4%,37.5%,45.2%
2025 Merida CH R16,W vs Popko,1.31,1.27,78.8,9.7,2.0%,60.0%,4.3%,45.7%,44.6%,46.8%
2025 Hersonissos 1 CH R32,L vs Sakellaridis,0.95,0.50,40.3,2.1,0.0%,43.8%,13.3%,66.7%,29.6%,17.4%
2025 Buenos Aires Tigre CH R32,L vs Varillas,0.93,0.90,79.6,9.5,3.0%,65.2%,3.2%,47.6%,44.8%,38.7%
2024 Vicenza CH R32,W vs Gaubas,1.14,1.18,57.6,7.0,1.7%,62.1%,0.0%,58.5%,39.3%,42.3%
2024 Asuncion CH R32,L vs Varillas,0.77,0.71,46.1,4.6,2.8%,55.6%,3.1%,53.1%,33.3%,51.6%
2025 (4 matches),,1.01,0.89,64.0,3.6,2.2%,56.3%,4.7%,52.6%,40.9%,39.7%
2024 (2 matches),,1.00,0.99,53.3,5.5,2.1%,59.6%,1.2%,56.5%,37.1%,45.8%
Career (6 matches),,1.01,0.92,60.5,4.1,2.2%,57.4%,3.5%,53.9%,39.7%,41.6%
