Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2008,577,41,150,1614,,,95,1657,,,510,90,,
2006,116,385,47,1810,38,1778,21,1839,,,488,86,,
2005,8,2190,19,1917,22,1840,3,1993,16,1765,479,80,,
2004,7,2400,7,1988,12,1876,2,2038,16,1772,631,50,,
2003,5,3330,3,2035,8,1894,1,2070,47,1675,209,225,,
2002,45,778,30,1885,37,1800,18,1883,,,698,37,,
2001,44,875,55,1827,81,1672,28,1840,97,1584,1117,10,,
2000,88,492,22,1907,124,1601,13,1895,,,592,52,,
1999,722,18,,,,,,,,,455,93,,
1998,874,10,,,,,,,,,,,,
1997,1366,,,,,,,,,,1313,1,,
