Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,116,68,48,58.6%,173-118,59.5%,1482-1290,53.5%,23-11,67.6%,109,76.0%,31.1%,4.7%,4.3%,63.5%,68.3%,50.9%,62.0%,41.9%,51.7%,1.10
Clay,187,134,53,71.7%,313-157,66.6%,2484-1882,56.9%,28-24,53.8%,184,74.2%,39.8%,2.8%,5.1%,62.8%,67.1%,50.0%,60.8%,45.4%,52.9%,1.16
Grass,18,10,8,55.6%,28-28,50.0%,277-259,51.7%,2-6,25.0%,16,80.6%,24.2%,6.3%,5.6%,60.7%,73.5%,47.9%,63.5%,37.8%,50.4%,1.03
Carpet,14,7,7,50.0%,14-15,48.3%,137-136,50.2%,2-2,50.0%,12,74.1%,26.1%,4.8%,5.8%,64.5%,69.9%,46.6%,61.6%,38.4%,49.9%,1.00
Grand Slams,60,40,20,66.7%,130-77,62.8%,1093-870,55.7%,8-15,34.8%,60,75.6%,36.1%,4.3%,4.8%,63.2%,67.1%,50.9%,61.2%,43.7%,52.2%,1.12
Masters,104,72,32,69.2%,156-84,65.0%,1237-986,55.6%,19-5,79.2%,102,75.8%,35.3%,3.1%,4.2%,65.5%,67.6%,50.9%,61.8%,43.7%,52.6%,1.15
Other Tours,154,101,53,65.6%,224-131,63.1%,1858-1501,55.3%,25-20,55.6%,152,75.0%,35.7%,4.0%,5.3%,61.2%,69.0%,49.5%,61.5%,43.6%,52.4%,1.13
Best of 5,72,46,26,63.9%,153-96,61.4%,1298-1042,55.5%,8-18,30.8%,67,75.8%,36.2%,4.1%,4.6%,63.6%,67.0%,51.1%,61.2%,43.8%,52.3%,1.13
Best of 3,263,173,90,65.8%,375-222,62.8%,3082-2525,55.0%,47-25,65.3%,254,75.0%,35.0%,3.6%,5.0%,62.7%,68.4%,49.7%,61.4%,43.4%,52.3%,1.13
Finals,21,10,11,47.6%,33-28,54.1%,294-265,52.6%,2-2,50.0%,20,70.3%,35.1%,3.1%,3.6%,66.0%,63.9%,50.1%,59.2%,42.9%,51.0%,1.05
Semi-finals,26,20,6,76.9%,43-23,65.2%,349-278,55.7%,5-3,62.5%,26,77.7%,33.2%,3.4%,4.0%,65.5%,68.6%,50.2%,62.3%,42.7%,52.5%,1.13
Quarter-finals,37,26,11,70.3%,58-33,63.7%,480-387,55.4%,7-3,70.0%,37,75.4%,34.7%,3.9%,3.5%,63.3%,66.5%,54.1%,62.0%,43.8%,52.9%,1.15
vs Righties,296,191,105,64.5%,456-283,61.7%,3815-3132,54.9%,50-37,57.5%,282,74.9%,35.3%,3.7%,5.1%,63.4%,67.9%,49.7%,61.2%,43.5%,52.2%,1.12
vs Lefties,39,28,11,71.8%,72-35,67.3%,565-435,56.5%,5-6,45.5%,39,77.4%,35.6%,3.9%,3.8%,60.5%,68.3%,52.8%,62.2%,43.8%,52.9%,1.16
vs Top 10,40,11,29,27.5%,38-67,36.2%,441-554,44.3%,8-5,61.5%,35,66.0%,23.8%,2.5%,3.6%,68.4%,62.6%,44.6%,56.9%,38.6%,47.9%,0.90
