Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,14,9,5,64.3%,5,3,2,60.0%,2001,2006,R16,14,1.07,3.7%,4.9%,63.5%,64.9%,46.4%,58.2%,44.7%,61.0%,45.2%
Roland Garros,7,Clay,24,17,7,70.8%,8,3,5,37.5%,2000,2008,F,24,1.14,2.4%,3.7%,64.9%,64.0%,52.2%,59.8%,45.8%,56.4%,48.0%
Wimbledon,4,Grass,8,4,4,50.0%,5,0,5,0.0%,2001,2005,R16,8,1.03,6.1%,5.7%,60.3%,72.7%,48.4%,63.0%,38.1%,58.7%,34.3%
US Open,5,Hard,15,10,5,66.7%,5,2,3,40.0%,2000,2006,QF,14,1.24,6.6%,5.8%,62.1%,71.4%,55.5%,65.4%,42.9%,65.3%,40.3%
Davis Cup,2,,8,5,3,62.5%,4,2,2,50.0%,2004,2005,,0,,,,,,,,,,
Monte Carlo Masters,6,Clay,28,23,5,82.1%,7,5,2,71.4%,2001,2006,W,27,1.22,1.8%,5.9%,64.1%,68.1%,47.9%,60.9%,47.9%,58.0%,50.4%
Miami Masters,6,Hard,19,13,6,68.4%,5,5,0,100.0%,2001,2006,F,19,1.15,3.7%,3.7%,64.4%,68.3%,53.4%,63.0%,42.4%,52.5%,44.1%
Kitzbuhel,5,Clay,13,9,4,69.2%,3,1,2,33.3%,2000,2008,W,13,1.31,3.6%,3.4%,63.1%,70.8%,55.5%,65.2%,45.7%,68.0%,48.1%
Barcelona,5,Clay,9,4,5,44.4%,7,1,6,14.3%,2001,2008,R16,9,1.01,3.0%,7.3%,61.3%,64.4%,46.6%,57.5%,43.1%,53.3%,47.2%
Hamburg Masters,4,Clay,17,14,3,82.4%,3,1,2,33.3%,2003,2006,W,17,1.22,1.2%,3.2%,67.9%,65.4%,57.4%,62.9%,45.5%,60.2%,45.6%
Buenos Aires,4,Clay,15,12,3,80.0%,6,4,2,66.7%,2001,2006,W,15,1.11,2.5%,4.7%,65.5%,69.0%,44.4%,60.5%,43.9%,55.1%,44.7%
