Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2006 Miami R64,W vs Djokovic,4.9,5.5,4.5,52.3%,61.8%,42.1%,87.5%,61.2%,3.7%,16.0,10.7,4.5,4.4
2005 Masters Cup RR,L vs Federer,4.1,4.8,3.4,38.9%,50.0%,62.5%,60.0%,50.9%,5.6%,7.5,8.3,3.5,3.5
2005 Beijing F,L vs Nadal,5.3,5.3,5.3,45.8%,38.1%,50.0%,50.0%,51.1%,8.0%,-2.0,-1.3,4.0,2.5
2005 US Open QF,L vs Ginepri,4.5,4.8,4.3,46.0%,56.1%,50.0%,55.6%,55.6%,6.3%,13.0,4.8,12.5,5.6
2005 Davis Cup World Group QF RR,L vs Hewitt,4.3,5.0,3.7,44.1%,52.1%,34.8%,60.0%,51.5%,13.1%,3.5,1.7,-4.0,-2.1
2005 Rome F,L vs Nadal,6.4,6.2,6.7,52.7%,52.3%,39.4%,50.5%,53.7%,5.5%,11.5,2.3,5.5,1.2
2005 Rome SF,W vs Agassi,5.8,5.7,6.0,54.5%,50.0%,63.6%,63.3%,51.1%,8.5%,8.5,5.4,6.0,3.7
2005 Rome R64,W vs Gonzalez,4.1,4.6,3.6,51.6%,42.9%,55.6%,57.1%,63.8%,15.3%,19.5,9.2,1.5,1.4
2005 Monte Carlo F,L vs Nadal,8.4,7.4,9.3,45.2%,48.8%,46.7%,47.6%,48.8%,3.3%,2.0,0.5,-4.0,-0.9
2005 Monte Carlo SF,W vs Ferrero,7.8,7.3,8.3,57.7%,46.4%,68.0%,59.0%,48.1%,1.4%,5.5,3.1,7.5,3.6
2005 Monte Carlo QF,W vs Ferrer,6.7,5.2,8.2,70.6%,47.6%,50.0%,40.9%,52.4%,4.8%,5.5,2.5,-2.5,-1.1
2005 Australian Open R16,L vs Nalbandian,5.7,5.5,6.0,49.5%,47.8%,41.5%,43.9%,53.7%,9.3%,-7.5,-2.3,2.5,0.9
2004 Masters Cup RR,L vs Safin,4.4,5.2,3.7,28.6%,54.5%,52.9%,14.3%,47.8%,3.7%,2.5,3.6,-4.5,-5.8
2004 Roland Garros F,L vs Gaudio,6.3,7.2,5.5,48.1%,39.7%,53.5%,53.7%,58.2%,7.6%,-3.5,-0.8,4.5,1.4
2004 Roland Garros SF,W vs Henman,4.3,4.6,4.1,54.5%,53.0%,50.0%,55.6%,51.1%,7.6%,18.5,9.6,31.5,17.8
2004 Hamburg F,L vs Federer,4.1,4.3,3.8,47.7%,35.7%,33.3%,47.6%,49.0%,4.6%,-1.0,-0.7,5.5,3.4
2004 Hamburg SF,W vs Ljubicic,5.0,5.5,4.4,43.0%,59.0%,57.1%,57.1%,66.4%,3.6%,9.5,4.8,-0.5,-0.5
2004 Monte Carlo F,W vs Schuettler,7.1,7.7,6.6,60.0%,61.3%,63.6%,64.4%,54.0%,1.7%,14.0,5.8,13.5,6.0
2004 Monte Carlo SF,W vs Safin,4.9,5.8,3.8,45.5%,53.6%,46.7%,68.8%,47.9%,8.8%,5.5,4.4,1.5,1.0
2004 Miami SF,W vs Gonzalez,4.1,4.1,4.2,55.0%,52.6%,44.4%,58.3%,41.6%,5.4%,8.5,8.0,6.5,3.8
Career (30 matches),,5.4,5.6,5.2,49.1%,49.7%,50.9%,53.0%,51.9%,6.5%,6.8,3.4,5.5,2.8
