Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Indian Wells R64,L vs Nadal,0.0%,-,9.6%,22.2%,16.2%,25.0%,33.3%,4.3%,17.6%,0.6%,0.0%,10,-34
2018 Brisbane R32,W vs Thompson,0.0%,-,9.5%,81.8%,17.6%,26.3%,66.7%,11.1%,33.3%,0.6%,0.0%,20,44
2017 Cincinnati QF,L vs Isner,0.0%,-,2.1%,100.0%,8.9%,15.0%,0.0%,10.3%,18.2%,1.7%,50.0%,-32,18
2017 Madrid R32,L vs Thiem,2.0%,100.0%,7.3%,87.5%,10.8%,2.9%,0.0%,3.6%,0.0%,0.6%,100.0%,-5,-18
2015 Sacramento CH F,L vs Fritz,0.0%,-,6.1%,91.7%,15.5%,17.1%,33.3%,5.1%,21.1%,0.3%,0.0%,11,10
2015 Sacramento CH QF,W vs Mcdonald,0.0%,-,1.9%,100.0%,15.0%,27.8%,0.0%,20.5%,38.5%,2.6%,0.0%,28,21
2015 Sacramento CH R16,W vs Sandgren,0.0%,-,7.9%,77.8%,14.8%,27.3%,0.0%,10.4%,38.9%,0.9%,0.0%,23,24
2015 Tiburon CH R32,W vs King,0.0%,-,7.0%,62.5%,12.1%,20.0%,25.0%,9.5%,29.4%,0.8%,50.0%,-3,-21
2014 Champaign CH R32,W vs Kuznetsov,0.0%,-,7.3%,75.0%,16.7%,12.5%,100.0%,8.7%,33.3%,1.4%,0.0%,-58,-58
2014 Knoxville CH R32,W vs Nguyen,0.0%,-,6.9%,72.7%,12.2%,23.5%,0.0%,11.7%,23.1%,0.7%,0.0%,-73,-54
2014 Sacramento CH R16,W vs Vanni,0.0%,-,4.5%,62.5%,6.8%,3.4%,0.0%,8.1%,20.0%,1.0%,33.3%,-40,-48
Career (11 matches),,0.1%,100.0%,6.2%,73.0%,13.0%,17.9%,20.7%,9.1%,26.2%,0.9%,19.0%,-12,-13
