Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Indian Wells R64,L vs Nadal,12.3%,26.3%,39.6%,19.6%,14.8%,37.0%,56.5%,30.4%,46.7%,41.7%,33.3%,10.7%,17.9%,24.0%,-8
2018 Brisbane R32,W vs Thompson,31.0%,36.2%,51.5%,34.8%,45.2%,51.6%,58.8%,52.3%,62.5%,33.3%,33.3%,20.0%,25.0%,43.8%,73
2017 Cincinnati QF,L vs Isner,41.7%,44.4%,54.1%,44.7%,58.3%,63.9%,53.3%,64.4%,50.0%,36.4%,-,29.0%,29.0%,54.5%,131
2017 Madrid R32,L vs Thiem,19.2%,32.7%,54.1%,28.5%,28.0%,52.0%,61.1%,47.2%,62.5%,58.8%,75.0%,13.6%,18.2%,47.4%,4
2015 Sacramento CH F,L vs Fritz,34.1%,42.4%,52.8%,40.6%,44.7%,55.3%,65.4%,56.4%,40.0%,37.0%,0.0%,22.9%,28.6%,40.7%,3
2015 Sacramento CH QF,W vs Mcdonald,32.7%,40.8%,60.6%,41.8%,28.1%,37.5%,65.2%,42.2%,40.0%,58.8%,0.0%,38.9%,44.4%,54.5%,-79
2015 Sacramento CH R16,W vs Sandgren,37.7%,43.4%,64.5%,44.2%,48.4%,54.8%,68.8%,59.4%,57.1%,58.8%,0.0%,25.0%,30.0%,60.0%,59
2015 Tiburon CH R32,W vs King,27.1%,37.3%,54.8%,32.5%,38.2%,50.0%,57.1%,47.6%,38.1%,38.5%,100.0%,12.5%,20.8%,52.4%,-19
2014 Champaign CH R32,W vs Kuznetsov,30.4%,42.9%,62.2%,34.1%,41.4%,51.7%,47.1%,48.6%,18.8%,38.5%,0.0%,20.0%,36.0%,75.0%,33
2014 Knoxville CH R32,W vs Nguyen,24.1%,32.5%,60.3%,28.8%,38.7%,48.4%,57.9%,51.3%,35.7%,41.2%,100.0%,17.0%,25.5%,61.5%,51
2014 Sacramento CH R16,W vs Vanni,33.0%,41.8%,50.9%,38.2%,40.8%,53.1%,55.2%,50.6%,42.9%,25.0%,0.0%,26.3%,31.6%,46.4%,65
Career (11 matches),,29.8%,38.5%,54.5%,35.5%,39.8%,51.1%,58.9%,50.8%,43.7%,41.4%,33.3%,21.1%,27.6%,50.6%,59
