Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,5,1,4,20.0%,2,1,1,50.0%,2015,2018,R128,4,1.03,9.4%,2.9%,54.7%,73.3%,51.7%,63.5%,37.5%,62.9%,27.5%
Roland Garros,4,Clay,9,5,4,55.6%,3,2,1,66.7%,2015,2018,R64,6,1.05,6.1%,2.1%,50.7%,75.6%,55.5%,65.7%,35.9%,57.1%,45.8%
Wimbledon,3,Grass,6,3,3,50.0%,3,2,1,66.7%,2015,2018,R32,5,1.01,8.4%,5.1%,50.6%,79.4%,50.6%,65.2%,35.2%,70.3%,42.9%
US Open,5,Hard,13,8,5,61.5%,5,2,3,40.0%,2013,2017,R32,10,1.00,6.9%,4.1%,49.8%,69.5%,51.4%,60.4%,39.8%,54.7%,38.9%
Indian Wells Masters,5,Hard,7,2,5,28.6%,3,1,2,33.3%,2015,2019,R64,7,0.92,6.8%,5.1%,51.6%,73.9%,49.8%,62.2%,34.9%,44.4%,50.0%
Delray Beach,5,Hard,7,2,5,28.6%,4,4,0,100.0%,2015,2019,R16,7,0.86,6.8%,5.6%,53.9%,72.5%,44.1%,59.4%,35.1%,59.6%,29.4%
Miami Masters,4,Hard,13,8,5,61.5%,3,2,1,66.7%,2016,2019,R16,12,1.05,7.1%,4.4%,49.3%,74.2%,52.6%,63.2%,38.5%,66.7%,34.4%
Washington,4,Hard,11,7,4,63.6%,5,3,2,60.0%,2014,2018,R16,11,1.11,8.3%,5.4%,48.1%,79.4%,53.1%,65.7%,38.1%,54.9%,47.9%
Canada Masters,3,Hard,9,6,3,66.7%,2,2,0,100.0%,2016,2018,R16,9,1.16,9.0%,7.0%,51.0%,78.5%,48.4%,63.7%,42.0%,51.1%,46.4%
Atlanta,3,Hard,9,6,3,66.7%,5,2,3,40.0%,2015,2017,R16,6,1.06,8.4%,6.1%,51.4%,77.7%,58.0%,68.2%,33.9%,47.6%,48.1%
