Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-24),1147,10,,,,,,,,,,,,
2020,412,114,,,,,,,,,,,,
2019,411,108,,,,,,,,,,,,
2018,235,242,,,,,,,,,737,20,,
2018,235,242,,,,,,,,,737,20,,
2017,247,223,,,,,,,,,548,74,,
2016,279,165,,,,,,,,,416,116,,
2015,394,90,,,,,,,,,644,50,,
2014,336,102,,,,,,,,,405,104,,
2013,425,94,,,,,,,,,,,,
2012,578,45,,,,,,,,,,,,
2011,896,16,,,,,,,,,644,50,,
2010,853,16,,,,,,,,,,,,
