Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),70,763,104,1697,109,1649,84,1673,94,1582,,,,
2025,103,626,127,1661,133,1595,96,1650,108,1564,,,,
2024,130,465,150,1627,160,1548,129,1595,99,1574,740,56,,
2023,132,498,165,1591,245,1449,137,1578,156,1490,,,,
2022,140,391,202,1549,239,1455,165,1554,149,1491,,,,
2021,198,333,211,1543,245,1434,175,1524,,,,,,
2020,294,167,222,1473,233,1417,204,1447,,,374,125,,
2019,352,110,389,1342,444,1221,315,1356,,,364,122,,
2017,569,52,,,,,,,,,485,108,,
2016,496,76,,,,,,,,,925,36,,
2015,1054,10,,,,,,,,,,,,
