Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 United Cup RR,L vs Tsitsipas,1.8%,100.0%,15.3%,66.7%,1.7%,0.0%,0.0%,13.4%,35.7%,1.1%,50.0%,5,7
2024 Roland Garros R128,L vs Hurkacz,3.5%,40.0%,11.2%,68.8%,13.2%,17.3%,0.0%,18.7%,33.3%,3.6%,46.2%,81,47
2023 Washington R64,L vs Barrere,7.9%,77.8%,17.4%,81.1%,13.0%,23.4%,0.0%,13.0%,26.9%,0.3%,0.0%,97,44
Career (3 matches),,4.8%,66.7%,14.1%,73.6%,10.9%,15.7%,0.0%,15.1%,31.4%,1.9%,43.8%,71,38
