Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,6,2,4,33.3%,1,0,1,0.0%,2024,2026,R128,6,0.89,5.5%,5.3%,51.9%,68.5%,48.5%,58.9%,36.4%,58.8%,41.5%
Roland Garros,3,Clay,6,3,3,50.0%,1,1,0,100.0%,2023,2025,R128,6,0.94,2.4%,5.4%,62.3%,61.7%,44.8%,55.3%,42.1%,59.7%,55.3%
Wimbledon,4,Grass,12,8,4,66.7%,6,3,3,50.0%,2021,2025,R64,12,1.09,3.9%,2.7%,60.9%,67.6%,53.2%,62.0%,41.5%,59.0%,46.1%
US Open,3,Hard,10,7,3,70.0%,3,2,1,66.7%,2023,2025,R64,10,1.03,4.7%,7.6%,49.1%,66.8%,46.3%,56.4%,45.0%,56.3%,41.1%
Davis Cup,4,,6,0,6,0.0%,3,0,3,0.0%,2022,2026,,0,,,,,,,,,,
Indian Wells Masters,3,Hard,6,3,3,50.0%,3,1,2,33.3%,2021,2026,R128,6,1.00,3.9%,7.0%,52.6%,69.4%,47.2%,58.9%,41.1%,46.3%,47.8%
Shanghai Masters,3,Hard,3,0,3,0.0%,0,0,0,-,2023,2025,Q1,3,0.71,4.3%,5.2%,60.5%,57.5%,45.8%,52.9%,33.3%,53.3%,53.8%
Tokyo,4,Hard,7,3,4,42.9%,2,2,0,100.0%,2022,2025,SF,7,0.76,4.4%,3.8%,58.4%,65.6%,48.8%,58.6%,31.5%,57.4%,31.0%
Miami Masters,4,Hard,8,4,4,50.0%,4,1,3,25.0%,2021,2025,R128,8,1.01,1.8%,5.1%,57.3%,68.0%,46.1%,58.6%,41.9%,56.8%,44.7%
Washington,3,Hard,7,4,3,57.1%,2,2,0,100.0%,2022,2024,R64,7,0.99,4.9%,7.4%,49.6%,68.8%,46.7%,57.6%,41.9%,57.4%,46.8%
Atlanta,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2023,2024,Q1,2,0.71,3.2%,8.0%,54.4%,72.1%,42.1%,58.4%,29.4%,36.4%,30.0%
