Date,Tournament,Surface,Rd,,Score
13-Jul-1970,West Kirby,Grass,F,Karen Krantzcke / Kerry Reid [AUS] d. Heldman / Judy Tegart [AUS],6-2 12-10
06-Jul-1970,Dublin,Grass,F,Karen Krantzcke / Kerry Reid [AUS] d. Heldman / Virginia Wade [GBR],7-5 6-2
12-Jun-1970,Wightman Cup,Grass,RR,Ann Jones / Joyce Williams [GBR] d. Heldman / Mary Ann Eisel [USA],6-3 6-2
11-May-1970,Brussels,Clay,F,Heldman / Mary Ann Eisel [USA] d. Peaches Bartkowicz [USA] / Winnie Shaw [GBR],6-3 6-4
06-Apr-1970,Nice Lawn Club,Clay,F,Gail Sherriff [FRA] / Helga Masthoff [FRG] d. Heldman / Marilyn Aschner [USA],6-3 6-3
26-Nov-1969,Stockholm 2,Carpet,F,Rosie Casals / Billie Jean King [USA] d. Heldman / Francoise Durr [FRA],6-4 6-4
03-Nov-1969,Torquay,Carpet,F,Ann Jones / Virginia Wade [GBR] d. Heldman / Mary Ann Eisel [USA],6-2 4-6 6-2
28-Oct-1969,Port Talbot,Carpet,F,Ann Jones / Virginia Wade [GBR] d. Heldman / Mary Ann Eisel [USA],6-3 6-2
14-Oct-1969,Perth Scotland,Carpet,F,Ann Jones / Virginia Wade [GBR] d. Heldman / Mary Ann Eisel [USA],6-4 6-4
10-Sep-1969,La Costa,Hard,F,Heldman / Peaches Bartkowicz [USA] d. Winnie Shaw [GBR] / Valerie Ziegenfuss [USA],6-1 6-4
09-Aug-1969,Wightman Cup,Hard,RR,Heldman / Peaches Bartkowicz [USA] d. Winnie Shaw / Virginia Wade [GBR],6-4 6-2
28-Jul-1969,Tel Aviv Maccabiah Games,,F,Heldman / Marilyn Aschner [USA] d. Esme Emmanuel / P Kriger [RSA],6-2 6-2
09-Jun-1969,Beckenham,Grass,F,Heldman / Mary Ann Eisel [USA] d. Kerry Reid / Karen Krantzcke [AUS],7-5 6-3
25-Feb-1969,Curacao,Hard,F,Margaret Court / Judy Tegart [AUS] d. Heldman / Nancy Richey [USA],6-4 6-2
11-Nov-1968,Santiago,Clay,F,Heldman / Carmen Ibarra [CHI] d. Ana Cornejo / Yamile Prajoux [CHI],6-2 6-1
04-Nov-1968,Buenos Aires,Clay,F,Rosie Casals [USA] / Ann Jones [GBR] d. Heldman / Mabel Vrancovich [ARG],6-1 6-2
24-Oct-1968,Mexico City Olympics Exhibition,Clay,F,Heldman / Rosie Reyes [FRA] d. Peaches Bartkowicz / Valerie Ziegenfuss [USA],6-0 10-8
14-Oct-1968,Guadalajara Olympics Demo,Clay,F,Edda Buding / Helga Masthoff [FRG] d. Heldman / Rosie Reyes [FRA],UNK
01-Sep-1968,Kansas City,Clay,F,Heldman / Kathleen Harter [USA] d. Maryna Godwin / Laura Rossouw [RSA],6-4 1-6 6-0
08-Jul-1968,Bastad,Clay,F,Eva Lundquist [SWE] / Olga Morozova [URS] d. Heldman / Kathleen Harter [USA],6-0 6-4
