Date,Tournament,Surface,Rd,,Score
28-Jul-1969,Tel Aviv Maccabiah Games,,F,Heldman / Ed Rubinoff [USA] d. Esme Emmanuel / Jackie Saul [RSA],6-4 6-4
14-Oct-1968,Guadalajara Olympics Demo,Clay,F,Heldman / Herb Fitzgibbon [USA] d. Helga Masthoff [FRG] / Jurgen Fassbender [GER],6-1 6-3
15-Jul-1968,Gstaad,Clay,F,Heldman / Torben Ulrich [DEN] d. Elena Subirats [MEX] / Massimo Di Domenico [ITA],6-2 6-2
20-May-1964,Menlo Park,Hard,F,Jane Albert / Arthur Ashe [USA] d. Heldman / Whitney Reed [USA],1-6 7-5 6-3
23-Mar-1964,Phoenix,Hard,F,Jane Albert / Bill Bond [USA] d. Heldman / Ian Crookenden [NZL],6-3 2-6 7-5
20-Aug-1962,Kenwood,,F,Heldman / Ron Goldman [USA] d. Olga Mahaney / Griff Payne [USA],6-3 6-3
18-Jun-1962,Atlanta,Clay,F,Heldman / Don Russell [USA] d. Sara Mae Turber / Cliff Buchholz [USA],6-3 6-2
19-Jun-1961,Winston Salem,Clay,F,Roberta Alison / John Powless [USA] d. Heldman / Miguel Olvera [ECU],5-7 6-3 6-2
03-Oct-1960,Tuscaloosa,Grass,F,Donna Floyd / Earl Butch Buchholz [USA] d. Heldman / Gardnar Mulloy [USA],6-2 6-4
