Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2021 Olympics R64,L vs Cilic,3.2,3.4,2.8,50.5%,44.9%,44.4%,42.9%,44.2%,18.7%,10.0,7.8,-12.5,-8.8
2019 US Open Q3,L vs Nagal,4.9,4.8,5.0,51.0%,43.9%,37.0%,48.5%,62.0%,14.7%,0.0,0.0,-2.5,-1.8
Career (2 matches),,3.9,4.0,3.8,50.7%,44.4%,40.0%,46.8%,54.3%,16.8%,5.0,2.6,-7.5,-5.3
