Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2021 Tokyo Olympics R64,L vs Cilic,54% (13/24),67% (4/6),1/4,0/1,69% (11/16),10/12,10/11,64% (9/14),36% (5/14)
2019 Binghamton CH SF,W vs Karlovskiy,90% (9/10),75% (3/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Gatineau CH SF,L vs Kubler,57% (4/7),- (0/0),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2019 Winnipeg CH R64,W vs Barrios Vera,78% (7/9),50% (5/10),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2019 Columbus CH R32,W vs Sarkissian,76% (13/17),78% (7/9),3/4,1/1,75% (6/8),3/4,0/0,50% (3/6),33% (2/6)
2019 Samarkand CH SF,W vs Nagal,77% (10/13),33% (7/21),2/4,1/1,58% (7/12),0/1,0/0,- (0/0),- (0/0)
2019 Samarkand CH QF,W vs Ignatik,64% (9/14),38% (3/8),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 Braga CH R32,W vs Krueger,75% (9/12),40% (4/10),2/4,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 Braga CH R64,W vs Safwat,89% (8/9),67% (4/6),2/3,1/1,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2019 Puerto Vallarta CH R16,L vs King,60% (6/10),50% (4/8),0/0,0/0,54% (7/13),2/4,1/2,- (0/0),- (0/0)
2019 Puerto Vallarta CH R32,W vs Bublik,74% (14/19),29% (2/7),2/2,1/1,80% (4/5),0/1,0/0,- (0/0),- (0/0)
2019 Leon CH R64,L vs Artunedo Martinavarro,58% (7/12),0% (0/2),0/0,0/0,50% (2/4),2/4,2/3,- (0/0),- (0/0)
2019 San Luis Potosi CH R16,L vs Muller,71% (10/14),25% (3/12),1/1,0/0,20% (1/5),2/4,2/3,- (0/0),- (0/0)
2019 San Luis Potosi CH R32,W vs Krstin,67% (6/9),75% (6/8),2/3,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 San Luis Potosi CH R64,W vs Franco Descotte,63% (12/19),43% (6/14),2/8,1/3,63% (5/8),0/1,0/0,75% (6/8),13% (1/8)
2019 M25 Calabasas CA R32,L vs Ritschard,47% (9/19),50% (3/6),1/2,0/0,50% (5/10),2/4,0/1,- (0/0),- (0/0)
2019 M25 Bakersfield CA SF,L vs Vukic,71% (12/17),33% (3/9),1/1,0/0,20% (1/5),0/2,0/1,60% (3/5),17% (1/6)
2019 Santiago CH R32,L vs Dellien,71% (12/17),67% (2/3),1/1,0/0,67% (6/9),0/2,0/1,- (0/0),- (0/0)
2019 Santiago CH R64,W vs Avidzba,75% (9/12),100% (3/3),2/3,1/2,75% (3/4),4/4,0/0,100% (5/5),33% (2/6)
2019 Sao Paulo Q1,L vs Martinez,63% (5/8),33% (2/6),0/0,0/0,43% (3/7),4/6,4/5,40% (2/5),33% (2/6)
2021 (1 matches),,54.2%,66.7%,25.0%,0.0%,68.8%,83.3%,90.9%,64.3%,35.7%
2019 (27 matches),,69.9%,44.7%,60.3%,62.5%,59.1%,45.5%,45.5%,59.5%,28.9%
2018 (2 matches),,57.7%,50.0%,33.3%,-,60.0%,55.6%,66.7%,50.0%,33.3%
2017 (1 matches),,50.0%,0.0%,-,-,33.3%,0.0%,0.0%,-,-
2015 (2 matches),,54.5%,35.0%,50.0%,-,64.3%,42.9%,60.0%,-,-
Career (33 matches),,66.7%,43.0%,56.5%,60.0%,59.8%,50.6%,60.0%,59.7%,30.8%
