Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2018 Leon CH F,L vs Eubanks,8.4%,75.0%,7.7%,75.0%,16.9%,30.4%,0.0%,8.9%,15.4%,0.0%,-,-27,11
2014 Winnetka CH QF,W vs Marchenko,18.6%,72.7%,20.8%,63.3%,10.7%,19.2%,0.0%,3.6%,6.3%,0.8%,50.0%,-43,-49
Career (2 matches),,12.3%,73.7%,13.1%,67.4%,13.0%,24.5%,0.0%,6.0%,10.3%,0.5%,50.0%,-37,-20
