Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2015 Cincinnati R64,W vs Troicki,66.7%,62.5%,0.0%,0/0,2.34,13.8%,53.8%,35.7%,0.0%,2.31,30.8%,90.0%,83.3%,0.0%,2.38,0.0%
2012 Cincinnati QF,L vs Federer,68.4%,30.8%,7.0%,2/2,2.16,30.2%,59.5%,20.0%,7.1%,2.28,25.9%,93.3%,50.0%,6.7%,2.04,34.6%
2011 Cincinnati SF,L vs Murray,67.9%,49.1%,5.1%,1/3,2.37,7.6%,63.4%,38.5%,4.9%,2.23,12.5%,81.8%,59.3%,6.1%,2.46,2.9%
2011 Canada F,L vs Djokovic,71.9%,47.8%,4.2%,2/2,2.46,3.7%,62.3%,47.4%,6.6%,2.22,9.1%,93.9%,48.4%,0.0%,2.64,0.0%
2011 Canada SF,W vs Tipsarevic,66.7%,50.0%,2.1%,0/1,2.42,9.1%,69.0%,55.0%,3.4%,2.00,25.0%,75.0%,41.7%,0.0%,2.52,0.0%
2011 Wimbledon QF,L vs Nadal,70.5%,39.2%,4.8%,1/4,2.22,6.0%,62.0%,36.4%,4.2%,2.11,13.5%,90.9%,43.3%,6.1%,2.30,0.0%
2011 Miami SF,L vs Djokovic,70.7%,48.8%,0.0%,0/0,2.36,0.0%,65.9%,37.0%,0.0%,2.13,0.0%,82.4%,71.4%,0.0%,2.53,0.0%
2010 Cincinnati SF,W vs Roddick,63.4%,57.8%,1.0%,1/0,1.92,14.6%,50.8%,64.5%,1.6%,1.68,21.4%,91.7%,51.5%,0.0%,2.01,11.8%
2010 Cincinnati F,L vs Federer,62.7%,40.6%,5.5%,6/0,1.99,38.7%,52.1%,43.2%,5.6%,1.80,27.8%,84.2%,37.5%,5.3%,2.15,48.7%
2008 US Open R32,W vs Blake,62.4%,58.7%,6.9%,4/3,-,15.4%,54.4%,58.1%,7.0%,-,25.0%,76.2%,59.4%,7.1%,-,9.4%
2008 Indian Wells F,L vs Djokovic,66.7%,51.8%,3.6%,1/2,2.56,0.0%,55.8%,58.6%,1.9%,2.25,0.0%,87.1%,44.4%,6.5%,2.72,0.0%
2008 Indian Wells SF,W vs Federer,75.5%,57.5%,0.0%,0/0,1.95,67.9%,75.0%,57.1%,0.0%,1.75,75.0%,76.0%,57.9%,0.0%,1.98,66.7%
2008 Indian Wells QF,W vs Nalbandian,65.3%,50.6%,0.8%,0/1,2.28,13.2%,55.9%,47.4%,1.5%,1.98,25.0%,89.6%,53.5%,0.0%,2.49,5.0%
2005 Indian Wells R64,L vs Federer,80.0%,37.5%,8.0%,2/2,2.00,29.3%,80.6%,40.0%,6.5%,1.85,21.1%,78.9%,33.3%,10.5%,2.11,36.4%
2004 Olympics F,L vs Massu,71.0%,50.0%,5.8%,6/3,1.96,6.3%,66.3%,49.2%,6.7%,1.53,15.0%,85.0%,51.0%,5.0%,2.20,0.0%
2004 Halle F,L vs Federer,66.7%,32.1%,14.3%,4/2,1.77,6.5%,56.7%,29.4%,20.0%,1.70,4.0%,91.7%,36.4%,0.0%,1.86,9.5%
2004 Indian Wells R16,L vs Federer,60.8%,38.7%,0.0%,0/0,2.04,35.3%,53.6%,40.0%,0.0%,1.64,0.0%,76.2%,37.5%,0.0%,2.17,57.1%
2004 San Jose F,L vs Roddick,49.3%,32.4%,4.3%,2/1,1.93,5.8%,43.8%,33.3%,6.3%,1.61,13.6%,65.0%,30.8%,0.0%,2.17,0.0%
2003 Cincinnati F,L vs Roddick,50.5%,44.6%,5.4%,2/4,1.77,5.1%,42.4%,39.3%,9.1%,1.59,10.5%,71.8%,50.0%,0.0%,1.95,0.0%
2003 Cincinnati SF,W vs Schuettler,60.0%,37.5%,5.0%,1/3,2.31,2.2%,47.5%,31.6%,10.0%,1.93,5.3%,78.4%,41.4%,0.0%,2.59,0.0%
Career (21 matches),,64.6%,47.0%,4.2%,51.4%,2.12,13.9%,57.1%,44.7%,5.2%,1.91,15.3%,82.4%,49.6%,2.8%,2.27,12.9%
