Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,378,223,155,59.0%,542-413,56.8%,4920-4465,52.4%,77-93,45.3%,360,82.6%,22.4%,12.5%,3.6%,53.6%,76.9%,51.8%,65.3%,37.2%,51.2%,1.07
Clay,65,30,35,46.2%,79-98,44.6%,833-899,48.1%,12-11,52.2%,54,73.6%,21.7%,8.1%,3.7%,52.9%,72.3%,49.0%,61.3%,37.3%,49.4%,0.96
Grass,72,46,26,63.9%,112-76,59.6%,986-879,52.9%,20-16,55.6%,72,86.8%,18.8%,16.1%,4.0%,56.1%,80.5%,53.4%,68.6%,35.6%,51.6%,1.13
Carpet,11,4,7,36.4%,11-17,39.3%,144-154,48.3%,4-5,44.4%,10,86.8%,12.4%,18.6%,4.9%,53.3%,81.7%,53.8%,68.7%,31.7%,50.4%,1.01
Grand Slams,91,52,39,57.1%,179-145,55.2%,1635-1501,52.1%,26-26,50.0%,90,82.4%,22.1%,12.3%,3.4%,54.9%,77.2%,51.8%,65.8%,37.6%,51.4%,1.10
Masters,131,70,61,53.4%,160-144,52.6%,1537-1487,50.8%,26-37,41.3%,128,81.9%,19.8%,11.4%,3.6%,52.7%,76.4%,51.4%,64.6%,36.0%,50.4%,1.02
Other Tours,286,174,112,60.8%,377-280,57.4%,3401-3084,52.4%,58-58,50.0%,275,82.7%,22.2%,13.4%,3.9%,53.8%,77.5%,52.0%,65.7%,36.9%,51.3%,1.08
Best of 5,104,57,47,54.8%,202-174,53.7%,1895-1771,51.7%,28-28,50.0%,90,82.4%,22.1%,12.3%,3.4%,54.9%,77.2%,51.8%,65.8%,37.6%,51.4%,1.10
Best of 3,422,246,176,58.3%,542-430,55.8%,4988-4626,51.9%,85-97,46.7%,406,82.3%,21.4%,12.7%,3.8%,53.5%,77.0%,51.8%,65.3%,36.6%,50.9%,1.05
Finals,20,6,14,30.0%,21-34,38.2%,259-299,46.4%,4-6,40.0%,19,80.4%,12.6%,12.5%,3.3%,55.8%,75.6%,51.1%,64.7%,32.2%,48.5%,0.91
Semi-finals,32,20,12,62.5%,41-31,56.9%,355-345,50.7%,9-3,75.0%,31,81.3%,18.6%,13.7%,3.3%,52.5%,79.2%,50.8%,65.7%,35.2%,50.7%,1.03
Quarter-finals,58,32,26,55.2%,73-62,54.1%,685-648,51.4%,12-14,46.2%,56,81.3%,21.2%,13.1%,3.2%,53.5%,76.7%,50.7%,64.6%,35.9%,50.4%,1.01
vs Righties,453,262,191,57.8%,639-520,55.1%,5906-5507,51.7%,98-106,48.0%,425,81.9%,21.8%,12.6%,3.7%,53.9%,77.0%,51.5%,65.2%,37.0%,51.0%,1.06
vs Lefties,73,41,32,56.2%,105-84,55.6%,977-890,52.3%,15-19,44.1%,71,84.7%,20.6%,12.7%,3.6%,53.5%,77.3%,53.7%,66.3%,36.4%,51.2%,1.08
vs Top 10,76,24,52,31.6%,71-124,36.4%,904-1067,45.9%,20-25,44.4%,70,78.6%,13.6%,12.2%,3.1%,52.3%,75.1%,50.1%,63.2%,32.6%,48.1%,0.88
