Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2015 US Open R64,L vs Lopez,100.9,109.3,10.7,,,131,87,89.9,3.9,,,97,84
2015 US Open R128,W vs Cecchinato,100.0,108.5,11.3,,,131,76,86.8,6.5,,,107,72
2012 US Open R32,W vs Simon,105.0,,,,,132,,,,,,,75
2012 US Open R64,W vs Davydenko,105.5,,,,,130,,,,,,,81
2012 US Open R128,W vs Soeda,103.1,,,,,129,,,,,,,78
2012 Wimbledon R16,L vs Tsonga,106.5,,,,,134,,,,,,,60
2012 Wimbledon R32,W vs Goffin,110.2,,,,,131,,,,,,,77
2012 Wimbledon R64,W vs Ward,106.5,,,,,132,,,,,,,82
2012 Wimbledon R128,W vs Ramirez Hidalgo,106.5,,,,,133,,,,,,,82
2012 Australian Open R64,L vs Falla,103.7,,,,,132,,,,,,,72
2012 Australian Open R128,W vs Muller,102.7,,,,,132,,,,,,,74
2011 US Open R16,L vs Tsonga,101.9,110.9,9.3,,,132,80,86.8,6.3,,,102,72
2011 US Open R32,W vs Anderson,102.3,113.6,12.0,,,133,70,88.5,6.1,,,103,68
2011 US Open R64,W vs Jaziri,101.6,112.7,10.8,,,131,86,89.3,5.9,,,102,80
2011 US Open R128,W vs Kamke,103.3,113.0,12.8,,,133,83,87.1,5.4,,,100,77
2011 Wimbledon QF,L vs Nadal,105.6,116.1,9.9,,,131,86,93.7,5.7,,,107,81
2011 Wimbledon R16,W vs Berdych,109.5,119.7,9.5,,,132,85,91.5,7.5,,,105,78
2011 Wimbledon R64,W vs Istomin,107.6,117.5,8.3,,,130,88,91.2,6.7,,,107,75
2011 Roland Garros R32,L vs Simon,102.9,113.0,12.6,,,131,80,88.4,7.1,,,103,73
2011 Roland Garros R64,W vs Haase,100.9,114.0,12.3,,,131,80,85.7,7.5,,,102,71
Career (23 matches),,104.4,113.6,10.5,,,134,70,89.3,6.1,,,107,60
