Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2015 Cincinnati R64,W vs Troicki,39.6%,45.8%,55.2%,44.2%,50.0%,57.7%,46.2%,58.5%,66.7%,28.6%,0.0%,27.3%,31.8%,62.5%,-79
2012 Cincinnati QF,L vs Federer,31.6%,40.5%,47.2%,35.1%,42.6%,48.9%,44.4%,48.3%,56.5%,37.5%,0.0%,16.1%,29.0%,50.0%,-32
2011 Cincinnati SF,L vs Murray,22.7%,35.2%,42.4%,30.3%,31.9%,55.3%,46.9%,46.2%,54.2%,69.6%,50.0%,12.8%,12.8%,38.2%,-5
2011 Canada F,L vs Djokovic,30.1%,42.2%,45.5%,36.4%,46.5%,65.1%,47.8%,58.6%,60.0%,47.8%,0.0%,13.5%,18.9%,43.8%,19
2011 Canada SF,W vs Tipsarevic,34.5%,52.7%,54.3%,41.8%,57.6%,81.8%,64.3%,69.7%,42.9%,47.4%,-,0.0%,9.5%,47.6%,-118
2011 Wimbledon QF,L vs Nadal,32.5%,42.3%,38.6%,38.6%,43.9%,57.6%,54.1%,55.3%,50.0%,47.4%,66.7%,19.3%,24.6%,26.1%,-79
2011 Miami SF,L vs Djokovic,25.0%,33.3%,40.0%,28.5%,42.3%,46.2%,33.3%,48.8%,50.0%,64.3%,100.0%,4.8%,19.0%,45.0%,-68
2010 Cincinnati SF,W vs Roddick,41.9%,47.3%,52.1%,45.5%,67.4%,74.4%,71.4%,75.1%,58.8%,42.3%,50.0%,22.7%,27.3%,44.1%,102
2010 Cincinnati F,L vs Federer,39.1%,47.7%,45.3%,42.8%,50.0%,58.3%,44.4%,56.7%,61.3%,51.2%,20.0%,26.4%,35.8%,46.2%,2
2008 US Open R32,W vs Blake,43.9%,53.1%,46.2%,48.8%,64.3%,75.0%,55.0%,72.9%,20.0%,41.7%,0.0%,17.9%,25.6%,40.6%,29
2008 Indian Wells F,L vs Djokovic,28.7%,39.1%,44.8%,33.7%,45.9%,59.5%,50.0%,57.6%,27.8%,52.6%,100.0%,17.4%,26.1%,42.1%,42
2008 Indian Wells SF,W vs Federer,42.0%,52.0%,57.1%,43.0%,76.5%,82.4%,50.0%,79.4%,14.3%,80.0%,-,25.0%,37.5%,58.3%,-33
2008 Indian Wells QF,W vs Nalbandian,39.5%,51.3%,48.5%,45.3%,58.2%,71.6%,46.4%,68.5%,37.0%,55.0%,25.0%,16.7%,27.1%,50.0%,37
2005 Indian Wells R64,L vs Federer,17.9%,30.4%,46.3%,23.8%,20.8%,33.3%,57.9%,34.6%,36.4%,61.5%,100.0%,18.5%,33.3%,36.4%,54
2004 Olympics F,L vs Massu,30.2%,41.6%,47.4%,35.2%,46.7%,60.0%,45.0%,56.5%,45.9%,47.4%,20.0%,15.4%,26.2%,49.1%,31
2004 Halle F,L vs Federer,20.0%,35.0%,37.0%,26.8%,26.5%,47.1%,36.0%,38.5%,66.7%,52.6%,100.0%,12.5%,20.8%,38.1%,-19
2004 Indian Wells R16,L vs Federer,36.1%,42.6%,32.4%,38.9%,55.2%,58.6%,38.5%,61.0%,66.7%,41.2%,40.0%,22.2%,33.3%,28.6%,88
2004 San Jose F,L vs Roddick,32.5%,46.3%,57.7%,40.1%,52.2%,63.0%,59.1%,65.4%,26.7%,58.1%,33.3%,6.3%,25.0%,56.7%,-53
2003 Cincinnati F,L vs Roddick,30.5%,51.1%,56.1%,40.0%,40.6%,69.6%,65.9%,58.6%,55.2%,55.0%,25.0%,22.6%,35.8%,46.3%,95
2003 Cincinnati SF,W vs Schuettler,46.3%,58.9%,48.9%,52.9%,60.0%,78.0%,60.0%,72.6%,43.8%,38.2%,40.0%,34.1%,41.5%,40.7%,56
Career (21 matches),,33.5%,44.5%,46.8%,39.0%,49.0%,62.7%,50.2%,59.5%,48.3%,50.2%,38.7%,17.9%,26.9%,44.2%,43
