Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2013 Sao Paulo F,L vs Nadal,18.8%,31.3%,36.1%,23.1%,25.0%,37.5%,38.9%,33.8%,58.3%,25.0%,33.3%,14.3%,28.6%,33.3%,19
2012 Buenos Aires SF,L vs Ferrer,17.8%,24.4%,48.4%,26.4%,22.2%,33.3%,61.9%,36.7%,50.0%,69.2%,100.0%,16.7%,16.7%,20.0%,39
2012 Buenos Aires R32,W vs Odesnik,19.0%,35.7%,66.7%,30.5%,25.0%,50.0%,61.1%,45.0%,45.5%,61.5%,-,11.8%,17.6%,73.3%,4
2011 US Open R32,L vs Nadal,16.5%,29.7%,46.4%,22.9%,25.0%,41.7%,50.0%,37.1%,71.4%,37.0%,0.0%,8.3%,19.4%,42.4%,-41
2011 Australian Open R128,W vs Hewitt,17.6%,26.2%,52.7%,25.1%,21.3%,33.1%,54.2%,32.9%,54.5%,67.1%,53.8%,11.8%,14.7%,50.0%,1
2010 Canada QF,L vs Murray,22.9%,25.0%,35.3%,29.0%,26.7%,30.0%,45.5%,36.3%,50.0%,37.5%,50.0%,20.0%,20.0%,16.7%,65
2010 Washington F,W vs Baghdatis,22.6%,35.5%,50.8%,28.8%,30.4%,47.8%,59.4%,43.0%,31.6%,44.4%,60.0%,17.5%,27.5%,42.4%,46
2010 Davis Cup World Group QF RR,W vs Youzhny,31.3%,55.2%,65.2%,40.4%,41.3%,63.5%,64.9%,55.2%,40.7%,52.8%,66.7%,12.1%,39.4%,65.5%,-79
2008 Paris F,L vs Tsonga,25.0%,35.2%,56.5%,33.1%,27.8%,40.7%,64.1%,40.9%,51.9%,37.0%,0.0%,23.3%,30.0%,43.5%,99
2008 Paris SF,W vs Davydenko,24.7%,34.1%,58.7%,32.9%,32.0%,48.0%,64.7%,46.0%,61.9%,37.9%,66.7%,14.7%,14.7%,51.7%,-36
2008 Basel F,L vs Federer,19.7%,32.8%,54.3%,25.7%,29.3%,41.5%,51.7%,38.3%,42.1%,50.0%,33.3%,0.0%,17.6%,58.8%,-118
2008 Stockholm F,W vs Soderling,38.4%,43.8%,57.1%,46.2%,42.2%,48.9%,53.8%,54.9%,47.6%,58.3%,100.0%,36.0%,40.0%,62.5%,83
2008 Indian Wells QF,L vs Fish,28.2%,40.3%,49.4%,32.5%,44.1%,54.4%,52.6%,51.9%,38.7%,45.9%,33.3%,10.4%,27.1%,46.5%,-20
2007 Paris SF,W vs Gasquet,34.8%,47.8%,63.0%,37.0%,65.0%,75.0%,71.4%,70.0%,44.4%,54.5%,-,13.0%,30.4%,60.0%,9
2007 Paris R16,W vs Federer,23.9%,31.8%,52.3%,28.8%,40.5%,52.4%,56.0%,50.7%,54.5%,55.0%,-,9.1%,13.6%,50.0%,-22
2007 Paris F,W vs Nadal,26.8%,61.0%,76.7%,37.8%,41.7%,79.2%,78.6%,60.4%,58.3%,33.3%,-,5.9%,35.3%,75.0%,-79
2007 Madrid F,W vs Federer,26.7%,32.0%,51.9%,29.3%,38.5%,48.7%,58.3%,43.6%,33.3%,42.9%,50.0%,15.2%,15.2%,46.4%,7
2007 Madrid SF,W vs Djokovic,35.3%,50.0%,59.1%,44.7%,46.3%,65.9%,72.7%,62.0%,58.8%,33.3%,0.0%,18.5%,25.9%,45.5%,-79
2007 Madrid QF,W vs Nadal,18.4%,28.9%,75.9%,30.0%,33.3%,55.6%,91.7%,57.8%,33.3%,41.7%,-,5.6%,5.6%,64.7%,-63
2007 Madrid R16,W vs Del Potro,24.6%,37.7%,51.0%,31.4%,34.8%,50.0%,56.7%,45.0%,50.0%,45.8%,40.0%,4.5%,13.6%,42.9%,-70
Career (65 matches),,21.8%,31.8%,51.9%,28.1%,27.6%,40.0%,54.2%,38.2%,43.2%,53.3%,56.5%,14.9%,22.3%,48.5%,31
