Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2013 Sao Paulo F,L vs Nadal,3.8,3.8,3.8,45.2%,37.5%,50.0%,37.5%,49.4%,11.6%,0.0,0.0,-4.0,-5.3
2012 Buenos Aires SF,L vs Ferrer,4.3,4.9,3.7,33.3%,45.0%,22.2%,40.0%,40.5%,11.0%,-0.5,-0.8,-6.0,-7.4
2012 Buenos Aires R32,W vs Odesnik,5.6,4.7,6.1,57.8%,68.0%,57.1%,57.9%,57.4%,10.0%,10.0,7.1,3.0,3.1
2011 US Open R32,L vs Nadal,4.9,4.5,5.2,43.7%,42.1%,37.5%,52.0%,52.9%,10.3%,8.0,3.8,-20.0,-11.6
2011 Australian Open R128,W vs Hewitt,5.2,5.3,5.0,44.9%,53.8%,61.8%,48.4%,45.4%,21.9%,8.5,2.3,23.5,6.6
2010 Canada QF,L vs Murray,3.8,3.8,3.7,36.5%,51.6%,16.7%,25.0%,39.6%,6.7%,-8.0,-14.8,-0.5,-0.6
2010 Washington F,W vs Baghdatis,3.8,3.9,3.6,50.5%,54.1%,68.4%,54.5%,41.7%,11.0%,7.0,6.7,4.0,2.9
2010 Davis Cup World Group QF RR,W vs Youzhny,3.7,3.6,3.7,54.8%,57.5%,45.5%,50.0%,41.4%,14.1%,11.0,10.0,5.0,3.6
2008 Paris F,L vs Tsonga,3.5,4.1,2.8,43.1%,52.2%,66.7%,50.0%,51.8%,8.3%,3.0,2.9,8.5,9.0
2008 Paris SF,W vs Davydenko,4.1,3.8,4.4,55.7%,55.9%,41.2%,56.3%,46.7%,21.2%,7.0,5.8,6.5,5.8
2008 Basel F,L vs Federer,3.7,4.2,3.0,44.1%,27.3%,54.5%,28.6%,45.1%,15.2%,5.0,8.3,-2.5,-3.9
2008 Stockholm F,W vs Soderling,3.2,3.1,3.2,53.8%,63.0%,38.9%,71.4%,43.2%,17.7%,7.0,8.3,8.5,9.1
2008 Indian Wells QF,L vs Fish,3.4,3.6,3.3,45.6%,45.1%,52.6%,60.0%,39.4%,12.2%,7.5,6.8,11.5,7.1
2007 Paris SF,W vs Gasquet,4.0,3.9,4.1,55.9%,52.6%,55.6%,90.0%,38.6%,8.8%,12.0,21.8,5.0,5.4
2007 Paris R16,W vs Federer,4.2,4.4,4.0,44.7%,50.0%,78.3%,50.0%,45.9%,16.4%,4.0,3.6,10.0,8.8
2007 Paris F,W vs Nadal,4.8,4.0,5.4,70.0%,54.5%,68.8%,45.5%,53.8%,8.1%,18.5,19.3,8.5,10.9
2007 Madrid F,W vs Federer,3.7,4.0,3.4,47.4%,54.5%,61.1%,37.5%,48.4%,8.6%,3.0,2.9,2.5,2.4
2007 Madrid SF,W vs Djokovic,3.1,3.4,2.8,53.1%,52.9%,68.8%,0.0%,53.4%,13.3%,6.5,7.3,5.0,7.0
2007 Madrid QF,W vs Nadal,4.6,4.7,4.6,57.5%,71.9%,75.0%,42.9%,54.3%,12.9%,20.0,20.2,7.5,10.6
2007 Madrid R16,W vs Del Potro,4.1,4.2,4.0,52.6%,48.5%,82.4%,50.0%,43.3%,9.1%,1.0,1.0,13.5,11.3
Career (65 matches),,4.3,4.5,4.1,47.5%,51.0%,55.3%,51.9%,46.7%,15.3%,8.3,5.9,5.8,4.0
