Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,73,35,38,47.9%,81-86,48.5%,760-766,49.8%,6-9,40.0%,1,63.6%,18.2%,4.9%,8.6%,61.7%,58.0%,48.4%,54.3%,40.8%,47.8%,0.89
Clay,242,122,120,50.4%,280-245,53.3%,2447-2319,51.3%,23-14,62.2%,48,61.8%,42.6%,1.3%,3.5%,65.7%,59.6%,46.7%,55.2%,46.7%,50.9%,1.04
Carpet,46,27,19,58.7%,52-44,54.2%,457-441,50.9%,6-6,50.0%,2,58.8%,17.6%,1.9%,2.9%,63.5%,60.6%,39.5%,52.9%,36.2%,44.1%,0.77
Finals,9,5,4,55.6%,13-9,59.1%,106-90,54.1%,1-1,50.0%,3,62.9%,40.0%,0.0%,4.0%,64.2%,60.7%,46.9%,55.8%,46.8%,51.1%,1.06
Semi-finals,22,8,14,36.4%,24-30,44.4%,234-274,46.1%,2-3,40.0%,5,63.3%,44.1%,1.5%,2.7%,65.8%,58.4%,49.3%,55.3%,47.0%,51.2%,1.05
Quarter-finals,48,23,25,47.9%,52-53,49.5%,480-487,49.6%,3-3,50.0%,8,67.1%,37.2%,0.8%,3.8%,64.1%,63.2%,50.6%,58.7%,45.1%,51.5%,1.09
vs Righties,211,86,125,40.8%,205-258,44.3%,2030-2224,47.7%,20-19,51.3%,30,57.8%,37.3%,1.3%,4.1%,65.8%,58.1%,44.0%,53.3%,44.7%,49.0%,0.96
vs Lefties,26,11,15,42.3%,23-30,43.4%,234-243,49.1%,1-2,33.3%,7,62.0%,34.8%,2.6%,3.0%,61.7%,59.4%,50.3%,55.9%,43.7%,49.6%,0.99
